variable,var_importance
class_time_rank,1.9172682e-4
gender,7.717314e-5
major,6.1396794e-4
poli_aff,6.64521e-5
Q10a,2.1887874e-4
Q10b,8.332724e-5
Q10c,5.1777382e-4
Q10d,9.358378e-5
Q10e,2.61206e-5
Q10f,4.345102e-5
Q10g,2.1194936e-4
Q10h,4.1026818e-4
Q10i,3.794628e-5
Q11a,9.987366e-4
Q11b,1.6042088e-4
Q11c,8.206402e-5
Q11d,7.708948e-5
Q11e,8.751942e-5
Q11f,0.0010806506399999999
Q11g,6.230338e-4
Q11h,3.7620899999999996e-4
Q11i,3.537908e-4
Q11j,9.62765e-5
Q11k,1.9680718e-4
Q11l,3.7342086e-4
Q11m,1.2290754e-4
Q11n,1.614947e-4
Q12abc_norm,2.398238e-4
Q12defghi_norm,0.00123666722
Q13a,4.100016e-5
Q13b,2.125328e-4
Q13c,2.463714e-4
Q13d,2.7535461999999997e-4
Q13e,2.2583288e-4
Q13f,3.2823032e-4
Q13g,8.633484e-5
Q14a,3.0021062e-4
Q14b,3.0313717999999997e-4
Q14c,7.8358248e-4
Q14d,7.4716048e-4
Q14e,6.6316424e-4
Q14f,1.3142274e-4
Q14g,2.4381454e-4
Q15a,4.0164608000000003e-4
Q15b,3.2484800000000003e-4
Q15c,1.6888438e-4
Q15d,6.3441504e-4
Q15e,4.8998186e-4
Q15f,7.789854e-5
Q15g,1.2615268e-4
Q15h,1.9243472e-4
Q15i,1.961607e-4
Q15j,3.3237338e-4
Q15k,2.9415754e-4
Q15l,2.4043972e-4
Q17a,7.0898922e-4
Q17b,9.564732e-5
Q17c,2.609356e-4
Q17d,1.0265088e-4
Q17e,6.1300776e-4
Q17f,0.0014821203
Q17g,3.529025e-4
Q17h,3.6797344e-4
Q17i,4.1359324e-4
Q17j,7.264559e-4
Q18a,0.00119196976
Q18b,5.4817976e-4
Q18c,0.0071856108
Q18d,2.3202725999999998e-4
Q18e,0.0024687839
Q18f,1.1539976e-4
Q18g,7.727716e-5
Q18h,6.732164e-5
Q18i,0.0013333231
Q18j,8.27392e-4
Q18k,9.2720008e-4
Q18l,2.5334484e-4
Q19a,1.6042632e-4
Q19b,1.7303168e-4
Q19c,2.5567046e-4
Q19d,4.6685508e-4
Q19e,3.1394358e-4
Q19f,2.5286358e-4
Q19g,1.9703956e-4
Q19h,3.1746374e-4
Q20a,1.7424132e-4
Q20b,2.1346112e-4
Q20c,2.61478e-5
Q20d,0.00237318456
Q20e,3.1255148e-4
Q21a,6.7809144e-4
Q21b,4.7078694000000004e-4
Q21c,9.270696e-5
Q21d,8.6046158e-4
Q21e,4.3607254000000003e-4
Q21f,5.5583560000000005e-5
Q22,6.158728e-5
Q23a,4.101966e-4
Q23b,1.0715078e-4
Q23c,7.315022e-5
Q23d,1.746967e-4
Q23e,1.0109536e-4
Q23f,1.6393064e-4
Q23g,2.195903e-4
Q23h,3.83718e-4
Q23i,8.473908e-5
Q23j,1.060661e-4
Q24a,1.2135230000000001e-4
Q24b,3.376554e-4
Q24c,4.5804352e-4
Q24d,3.8323404e-4
Q24e,8.2571932e-4
Q24f,8.892092e-5
Q24g,2.4147872e-4
Q24h,3.1545820000000003e-4
Q24i,2.4379434e-4
Q24j,2.8027502e-4
Q24k,1.443052e-4
Q25a,1.455712e-5
Q25b,-4.01438e-6
Q25c,7.419846e-5
Q26a,2.066996e-5
Q26b,6.38156e-5
Q26c,2.05171e-5
Q26d,9.670851999999999e-5
Q26e,1.4899599999999999e-5
Q26f,1.7545082e-4
Q26g,3.690902e-5
Q26h,9.753218e-5
Q28_social_norm,3.0575624e-4
Q28_tech_norm,5.0088428e-4
Q35a,2.769282e-5
Q35b,4.411998e-5
Q35c,6.8786e-6
Q35d,2.9705640000000002e-5
Q35e,6.79496e-6
Q35f,6.60844e-6
Q35g,9.099980000000001e-6
Q35h,1.328e-6
Q35i,2.287878e-5
Q36a,6.074422e-5
Q36b,1.0536698000000001e-4
Q3a,-2.08006e-6
Q3b,2.09836e-6
Q3c,-4.100600000000006e-7
Q3d,7.953012e-5
Q3e,-5.755000000000002e-7
Q3f,7.290888e-5
Q3g,9.634039999999999e-6
Q4a,7.852734e-5
Q4b,4.767712e-5
Q4c,2.221034e-4
Q4d,5.145386e-5
Q4e,1.5700656e-4
Q4f,7.98106e-5
Q4g,4.0120386e-4
Q4h,2.1622280000000002e-4
Q4i,7.470176e-5
Q4j,8.434342e-5
Q4k,6.461142e-5
Q4l,7.7995974e-4
Q4m,1.0698622e-4
Q4n,1.024878e-4
Q4o,2.0277998e-4
Q4p,2.4548602e-4
Q6a,3.55641e-5
Q6b,4.907894e-5
Q6c,-1.0596299999999999e-5
Q6d,-6.82186e-6
Q6e,4.89538e-6
Q6f,6.196199999999999e-6
Q6g,1.071428e-5
Q6h,2.365742e-5
Q6i,-4.1406e-6
Q6j,1.4811186e-4
Q6k,4.1002e-6
Q7a_wt_sum,5.7543688e-4
Q7b_wt_sum,8.1046446e-4
Q7c_wt_sum,1.6330192e-4
Q7d_wt_sum,6.215816e-5
Q7e_wt_sum,9.766724e-5
Q7f_wt_sum,6.503724e-5
Q7g_wt_sum,9.441138e-5
Q7h_wt_sum,2.3993978e-4
Q7i_wt_sum,4.122188e-5
Q7j_wt_sum,1.6287917999999998e-4
Q7k_wt_sum,4.02279e-5
Q7l_wt_sum,3.90718e-5
Q7m_wt_sum,1.9868412e-4
Q7n_wt_sum,1.4451974e-4
Q7o_wt_sum,8.10643e-5
Q7p_wt_sum,7.363226e-5
Q7q_wt_sum,4.066e-5
Q7r_wt_sum,4.87053e-5
Q7s_wt_sum,4.058946e-5
Q7t_wt_sum,4.817338e-5
Q7u_wt_sum,1.1690758e-4
Q7v_wt_sum,8.04792e-5
Q8a,4.96566e-6
Q8b,9.91647e-5
Q8c,1.526086e-5
Q8d,6.16919e-5
Q8e,3.928994e-5
