variable,var_importance
class_time_rank,1.363395e-4
gender,2.733713e-4
major,7.6434626e-4
poli_aff,1.3270779999999999e-5
Q10a,3.3372354e-4
Q10b,8.459411999999999e-5
Q10c,5.6596608e-4
Q10d,8.06834e-5
Q10e,2.0474299999999998e-5
Q10f,6.579800000000001e-6
Q10g,2.6246848e-4
Q10h,4.4208072e-4
Q10i,5.174972e-5
Q11a,7.6373534e-4
Q11b,1.2472344e-4
Q11c,5.727286e-5
Q11d,4.45896e-5
Q11e,1.3838512e-4
Q11f,0.0011221406600000002
Q11g,6.723773e-4
Q11h,3.1995138e-4
Q11i,2.6651692e-4
Q11j,8.25591e-5
Q11k,2.0737118e-4
Q11l,3.7332054e-4
Q11m,1.3205166e-4
Q11n,1.8940862e-4
Q12abc_norm,4.1569862e-4
Q12defghi_norm,0.0017390308
Q13a,4.987786e-5
Q13b,1.4507004e-4
Q13c,1.5457426e-4
Q13d,1.8088807999999999e-4
Q13e,2.6770488e-4
Q13f,2.8304484e-4
Q13g,7.112806e-5
Q14a,4.0617969999999997e-4
Q14b,3.2008758e-4
Q14c,0.00104275414
Q14d,7.7694998e-4
Q14e,8.590071e-4
Q14f,1.6089672e-4
Q14g,2.2361706e-4
Q15a,3.6996154e-4
Q15b,5.7650316e-4
Q15c,1.5309412e-4
Q15d,5.6419746e-4
Q15e,4.0295244e-4
Q15f,5.511612e-5
Q15g,1.8118622e-4
Q15h,2.067308e-4
Q15i,2.3585298e-4
Q15j,3.9063936e-4
Q15k,2.8106998e-4
Q15l,3.1202486e-4
Q17a,8.2014494e-4
Q17b,1.3012298e-4
Q17c,3.2302934e-4
Q17d,1.0762752e-4
Q17e,2.9004066e-4
Q17f,0.00128922156
Q17g,2.9807354e-4
Q17h,3.9892329999999997e-4
Q17i,3.2647424e-4
Q17j,4.5033082e-4
Q18a,7.4002738e-4
Q18b,4.3245940000000003e-4
Q18c,0.0054445993
Q18d,2.5995616e-4
Q18e,0.00231008574
Q18f,1.3446424e-4
Q18g,1.1781806000000001e-4
Q18h,6.391008e-5
Q18i,0.00116897194
Q18j,7.3466852e-4
Q18k,5.35109e-4
Q18l,3.9101384e-4
Q19a,9.411251999999999e-5
Q19b,1.1681836e-4
Q19c,1.3093358e-4
Q19d,3.1552924e-4
Q19e,2.2640232e-4
Q19f,2.5274974e-4
Q19g,1.207551e-4
Q19h,2.3859858e-4
Q20a,1.2003138e-4
Q20b,1.3950004e-4
Q20c,1.991008e-5
Q20d,0.00116341754
Q20e,2.3662384000000002e-4
Q21a,5.8854576e-4
Q21b,3.694757e-4
Q21c,3.8074599999999996e-5
Q21d,6.2534682e-4
Q21e,3.836269e-4
Q21f,5.466654e-5
Q22,3.85056e-5
Q23a,2.1161598e-4
Q23b,9.547410000000001e-5
Q23c,8.295476e-5
Q23d,1.5426598e-4
Q23e,7.056304e-5
Q23f,8.085226e-5
Q23g,1.2681194e-4
Q23h,1.648744e-4
Q23i,5.072896e-5
Q23j,4.516762e-5
Q24a,1.3818582e-4
Q24b,3.7076778e-4
Q24c,4.6868482e-4
Q24d,4.2812962e-4
Q24e,8.5552644e-4
Q24f,1.0999912e-4
Q24g,1.7223048e-4
Q24h,1.8931228e-4
Q24i,1.3266266e-4
Q24j,9.094456e-5
Q24k,5.401054e-5
Q25a,2.887800000000004e-7
Q25b,2.63387e-5
Q25c,1.0606382e-4
Q26a,1.1485e-6
Q26b,8.791378e-5
Q26c,3.704176e-5
Q26d,1.0090627999999999e-4
Q26e,4.97424e-6
Q26f,1.4991394e-4
Q26g,3.94403e-5
Q26h,4.660716e-5
Q28_social_norm,3.278603e-4
Q28_tech_norm,3.6258206e-4
Q35a,4.972082e-5
Q35b,3.457522e-5
Q35c,1.754964e-5
Q35d,2.013062e-5
Q35e,-3.37522e-6
Q35f,1.8088000000000002e-7
Q35g,-2.317376e-5
Q35h,-2.49402e-6
Q35i,2.240146e-5
Q36a,5.01783e-5
Q36b,8.16006e-5
Q3a,1.279022e-5
Q3b,7.891159999999999e-6
Q3c,1.291162e-5
Q3d,6.78929e-5
Q3e,-2.21358e-6
Q3f,8.556216e-5
Q3g,-2.9732599999999997e-6
Q4a,7.066118e-5
Q4b,5.880556e-5
Q4c,1.704167e-4
Q4d,6.120290000000001e-5
Q4e,1.4510688e-4
Q4f,4.7500679999999996e-5
Q4g,7.703732e-4
Q4h,3.5236817999999997e-4
Q4i,3.476572e-5
Q4j,9.407986e-5
Q4k,8.683211999999999e-5
Q4l,3.8635054e-4
Q4m,1.2732176e-4
Q4n,5.5061319999999995e-5
Q4o,2.0753374e-4
Q4p,1.6134224e-4
Q6a,3.699738e-5
Q6b,1.982348e-5
Q6c,4.880914e-5
Q6d,-6.6402599999999995e-6
Q6e,1.740058e-5
Q6f,1.924674e-5
Q6g,1.2094586e-4
Q6h,5.410966e-5
Q6i,-2.8052e-6
Q6j,1.3779304e-4
Q6k,-1.61054e-6
Q7a_wt_sum,0.00100086372
Q7b_wt_sum,8.8085016e-4
Q7c_wt_sum,1.8104932000000002e-4
Q7d_wt_sum,7.4612e-5
Q7e_wt_sum,6.205244e-5
Q7f_wt_sum,7.104056e-5
Q7g_wt_sum,1.4974034e-4
Q7h_wt_sum,4.277484e-4
Q7i_wt_sum,1.0307004e-4
Q7j_wt_sum,2.8142206e-4
Q7k_wt_sum,4.9510059999999996e-5
Q7l_wt_sum,4.701236e-5
Q7m_wt_sum,1.8759098e-4
Q7n_wt_sum,1.5773058e-4
Q7o_wt_sum,9.426994e-5
Q7p_wt_sum,6.68018e-5
Q7q_wt_sum,8.125274e-5
Q7r_wt_sum,1.1096724e-4
Q7s_wt_sum,3.234302e-5
Q7t_wt_sum,5.5543640000000004e-5
Q7u_wt_sum,1.2028688e-4
Q7v_wt_sum,7.84526e-5
