variable,var_importance
Q2a,1.0872576999271793e-4
Q2b,1.829777934907642e-4
Q2c,8.501632050169544e-5
Q2d,5.784741181328559e-5
Q2e,8.22563119714123e-5
Q2f,2.342869810312541e-4
Q2g,5.104795497560121e-5
Q3a,4.332117278691672e-6
Q3b,-4.532398733733243e-5
Q3c,1.8103594907154584e-5
Q3d,6.258763699555806e-5
Q3e,2.67602265203114e-6
Q3f,3.0605263260505613e-6
Q3g,7.02896420889304e-6
Q4a,3.798467846128034e-5
Q4b,1.447105445514e-4
Q4c,2.637367845966378e-4
Q4d,5.954985190504815e-5
Q4e,6.952014196225856e-5
Q4f,8.358559894104969e-5
Q4g,1.4806410933216184e-4
Q4h,1.518460153156033e-4
Q4i,5.040821795078428e-5
Q4j,7.0453982266313e-5
Q4k,9.171917003990999e-5
Q4l,0.0010114349214738454
Q4m,4.742481742771235e-5
Q4n,1.9691125233962813e-5
Q4o,1.914722244247248e-4
Q4p,4.2270057251210654e-4
Q6a,5.579074694338628e-5
Q6b,3.1394442959135895e-5
Q6c,5.114367939371608e-5
Q6d,-1.2136668378299576e-5
Q6e,4.0437390456889354e-5
Q6f,6.678813438157406e-5
Q6g,5.919921880158537e-5
Q6h,6.47659526600827e-5
Q6i,-2.4975219658902703e-6
Q6j,5.960579968173938e-4
Q6k,5.017693407717909e-5
Q8a,2.0500834214029896e-5
Q8b,-7.6158194324848046e-6
Q8c,3.235357366608469e-5
Q8d,-1.251474616743471e-5
Q8e,2.8381493783639287e-5
Q8f,5.4421130455748166e-5
Q8g,7.831573825145861e-5
Q8h,1.2736180835614007e-4
Q8i,3.049593409590008e-4
Q8j,1.6613157966341262e-4
Q8k,3.98763711735791e-5
Q8l,8.722890062714499e-5
Q8m,2.5813764758779724e-7
Q8n,1.7428750240337654e-4
Q9a,2.9346592759236405e-4
Q9b,1.7609321908563215e-5
Q9c,1.6467356109004372e-5
Q10a,7.796492586212774e-5
Q10b,1.1174385116260961e-4
Q10c,5.010762379736828e-4
Q10d,6.2616428962961e-5
Q10e,2.9769362999191194e-5
Q10f,9.934384464367186e-6
Q10g,7.665619511481046e-5
Q10h,1.2928552964444146e-4
Q10i,7.15807452184007e-5
Q11a,3.380522746487023e-4
Q11b,1.1319718897673816e-4
Q11c,6.612221847878734e-5
Q11d,3.254908975437092e-5
Q11e,6.685876090475006e-5
Q11f,3.9334507246750527e-4
Q11g,2.3863023606739606e-4
Q11h,1.688413786122362e-4
Q11i,1.2337798807311956e-4
Q11j,5.437118681314937e-5
Q11k,9.190897508676912e-5
Q11l,7.164687411591034e-5
Q11m,5.0035661238107934e-5
Q11n,5.5404466663930975e-5
Q12a,7.918795757195548e-5
Q12b,7.282885958790968e-5
Q12c,5.6011586372813325e-5
Q12d,1.7204600068137827e-4
Q12e,1.6015635234604527e-4
Q12f,9.786746128994234e-5
Q12g,1.954377507903599e-4
Q12h,1.61399592899553e-4
Q12i,3.4856706477113007e-4
Q13a,1.5302193252554764e-5
Q13b,7.94231978179819e-5
Q13c,8.87320209347071e-5
Q13d,2.0465471524422512e-4
Q13e,9.838523965127341e-5
Q13f,2.7978734651479693e-4
Q13g,9.50704808778002e-5
Q14a,1.4312214800168713e-4
Q14b,1.2132110381456202e-4
Q14c,5.371792020844868e-4
Q14d,5.145436299490082e-4
Q14e,2.079942470790292e-4
Q14f,1.2360327578097853e-4
Q14g,1.0842716816642333e-4
Q15a,1.8738393028421528e-4
Q15b,8.81165335243037e-5
Q15c,1.0702639364017573e-4
Q15d,2.7461606588075776e-4
Q15e,2.098230109844994e-4
Q15f,6.883097060015292e-5
Q15g,1.2242857286074834e-4
Q15h,1.0412935107692107e-4
Q15i,9.244048657770754e-5
Q15j,2.462667451394067e-4
Q15k,2.3292843732710883e-4
Q15l,1.4526440878403365e-4
Q17a,3.9263880127898024e-4
Q17b,9.168949443009415e-5
Q17c,1.1468104807825752e-4
Q17d,1.025557644823309e-4
Q17e,5.257961394992913e-4
Q17f,0.0019451388724772937
Q17g,3.5436315760730677e-4
Q17h,3.770481166639284e-4
Q17i,5.584705613938036e-4
Q17j,8.211808310718704e-4
Q18a,6.083539799230168e-4
Q18b,1.8060993369741643e-4
Q18c,0.010743327941915102
Q18d,0.0011853209682088058
Q18e,0.003631238016077357
Q18f,2.3936966988366519e-4
Q18g,1.9816937586003355e-4
Q18h,1.0564507047847158e-4
Q18i,0.0016919731744671328
Q18j,0.001771375604899617
Q18k,0.0037640297772772195
Q18l,0.001275126443176132
Q19a,1.2372474640556273e-4
Q19b,5.404252761337163e-4
Q19c,7.722509637485006e-4
Q19d,4.561014655102343e-4
Q19e,3.5550317921863566e-4
Q19f,4.2876153440741263e-4
Q19g,3.2225885034640783e-4
Q19h,0.0014321973795330767
Q20a,6.079078994824638e-4
Q20b,7.670875953582037e-4
Q20c,8.589293060110531e-5
Q20d,0.007077411631539982
Q20e,3.9803085441069693e-4
Q21a,0.0012131819225598606
Q21b,2.0971458838675954e-4
Q21c,8.882382824955306e-5
Q21d,7.028625378709429e-4
Q21e,0.0011781435128734557
Q21f,9.37610858602451e-5
Q22,1.3999513875648502e-4
Q23a,0.0010221686161846016
Q23b,8.753660349753009e-5
Q23c,4.4356761183785775e-5
Q23d,3.6353131778074096e-4
Q23e,0.00011767827334902901
Q23f,1.3266412671587315e-4
Q23g,1.8485055530909536e-4
Q23h,4.375990992954452e-4
Q23j,1.095316119069198e-4
Q23i,1.9157162481400959e-4
Q24a,8.006883478365411e-5
Q24b,3.304284409793568e-4
Q24c,5.780000870635733e-4
Q24d,5.833340265038828e-4
Q24e,7.287953538923978e-4
Q24f,2.3588103850833128e-4
Q24g,3.708857458114803e-4
Q24h,0.0011303169960103678
Q24i,4.985577387405691e-4
Q24j,7.478212819744417e-4
Q24k,9.128244745663935e-4
Q25a,-2.411983314341789e-5
Q25b,3.4147594653053805e-5
Q25c,3.959273628480906e-5
Q26a,4.0514683249300865e-5
Q26b,1.6735263202811233e-4
Q26c,8.580665151653881e-5
Q26d,1.6931790389165105e-4
Q26e,6.298083958522831e-5
Q26f,4.305230233829323e-4
Q26g,6.768603163578834e-5
Q26h,1.0211150471990331e-4
Q27a,3.2664594758320973e-4
Q27b,2.2584136659896452e-4
Q27c,2.5724091667445953e-4
Q27d,2.816922813592764e-4
Q27e,2.897598866647122e-4
Q27f,1.9627084968777578e-4
Q27g,1.6966862566087054e-4
Q27h,2.655591160492625e-4
Q27i,1.3421759194749596e-4
Q32,1.6511220824782938e-4
Q33,1.1266185745794488e-5
Q35a,8.883211057251152e-5
Q35b,2.0770114548018016e-5
Q35c,-2.3139660274235897e-5
Q35d,2.292511792363383e-5
Q35e,5.423412606946843e-6
Q35f,-2.2311829348280166e-5
Q35g,3.2728993775395843e-6
Q35h,-4.639934147438052e-6
Q35i,6.56868027279125e-6
Q7a_wt_sum,5.79470457634761e-4
Q7b_wt_sum,3.771388347338682e-4
Q7c_wt_sum,3.589327711839551e-4
Q7d_wt_sum,9.846188730309278e-5
Q7e_wt_sum,8.739868111951292e-5
Q7f_wt_sum,6.859274892414046e-5
Q7g_wt_sum,8.870378657102933e-5
Q7h_wt_sum,1.4665564088178174e-4
Q7i_wt_sum,2.3326012939005224e-5
Q7j_wt_sum,1.4953830346994685e-4
Q7k_wt_sum,3.664731052822483e-5
Q7l_wt_sum,7.402013668138066e-5
Q7m_wt_sum,4.277654461700468e-4
Q7n_wt_sum,1.2010523487053347e-4
Q7o_wt_sum,1.411096269599136e-4
Q7p_wt_sum,9.123441269713477e-5
Q7q_wt_sum,9.916334922008411e-5
Q7r_wt_sum,9.65180422176651e-5
Q7s_wt_sum,3.783115157294638e-5
Q7t_wt_sum,6.511836615524841e-5
