variable,var_importance
class_time_rank,3.504404e-4
gender,6.761988e-5
major,6.0682078e-4
poli_aff,2.1993524e-4
Q10a,7.615116000000001e-5
Q10b,1.2775537999999999e-4
Q10c,5.614176e-4
Q10d,7.769674000000001e-5
Q10e,-1.1251199999999998e-5
Q10f,5.33032e-6
Q10g,7.861824e-5
Q10h,1.116312e-4
Q10i,1.0630227999999999e-4
Q11a,3.6954032e-4
Q11b,9.855836e-5
Q11c,7.214336e-5
Q11d,1.230532e-5
Q11e,9.742278e-5
Q11f,4.4136894e-4
Q11g,2.500016e-4
Q11h,1.6330276e-4
Q11i,1.3575162e-4
Q11j,8.604132e-5
Q11k,8.520282e-5
Q11l,1.2184398e-4
Q11m,9.005498e-5
Q11n,6.786464e-5
Q12abc_norm,1.4664636e-4
Q12defghi_norm,5.9506962e-4
Q13a,8.833994e-5
Q13b,1.1474486e-4
Q13c,1.5441242e-4
Q13d,2.2177642e-4
Q13e,1.543672e-4
Q13f,3.2907728e-4
Q13g,1.0163176e-4
Q14a,1.702372e-4
Q14b,1.401097e-4
Q14c,6.4199296e-4
Q14d,4.5964434e-4
Q14e,2.4212924e-4
Q14f,1.564808e-4
Q14g,1.3622328e-4
Q15a,1.8296904e-4
Q15b,1.2365094e-4
Q15c,1.113622e-4
Q15d,3.4622038e-4
Q15e,2.3758932e-4
Q15f,8.447013999999999e-5
Q15g,1.1933515999999999e-4
Q15h,1.215879e-4
Q15i,1.8377054e-4
Q15j,3.0618366e-4
Q15k,2.602422e-4
Q15l,1.9840776e-4
Q17a,4.0136116e-4
Q17b,1.2080874e-4
Q17c,1.4530642e-4
Q17d,8.476992e-5
Q17e,6.4034832e-4
Q17f,0.00187245856
Q17g,3.330286e-4
Q17h,3.6918684e-4
Q17i,5.6232486e-4
Q17j,8.3931842e-4
Q18a,5.0936888e-4
Q18b,2.3237712e-4
Q18c,0.01241994688
Q18d,0.0011183424
Q18e,0.00362345422
Q18f,1.9924636e-4
Q18g,2.816916e-4
Q18h,6.728098e-5
Q18i,0.0019920065
Q18j,0.00207798164
Q18k,0.00445162772
Q18l,0.00138584406
Q19a,1.6088092e-4
Q19b,4.7345472e-4
Q19c,9.149597e-4
Q19d,4.5303682e-4
Q19e,4.2503046e-4
Q19f,4.7820928e-4
Q19g,3.5046232e-4
Q19h,0.0015796148999999999
Q20a,7.4129684e-4
Q20b,7.6921488e-4
Q20c,9.973542e-5
Q20d,0.00771787672
Q20e,4.317742e-4
Q21a,0.00128234656
Q21b,3.1612942e-4
Q21c,1.3239268e-4
Q21d,7.8218686e-4
Q21e,0.00112259622
Q21f,9.905994e-5
Q22,1.2849076e-4
Q23a,0.0010623198200000001
Q23b,1.0130998e-4
Q23c,8.7886e-5
Q23d,4.7441215999999997e-4
Q23e,1.677502e-4
Q23f,2.1909978e-4
Q23g,3.0593222e-4
Q23h,4.6284646e-4
Q23i,1.5151084e-4
Q23j,9.513854000000001e-5
Q24a,1.1138014e-4
Q24b,3.4169492e-4
Q24c,5.913147e-4
Q24d,7.1656326e-4
Q24e,9.150512e-4
Q24f,2.3784494e-4
Q24g,3.8605518e-4
Q24h,9.3821948e-4
Q24i,6.9670876e-4
Q24j,6.817267e-4
Q24k,0.00110057542
Q25a,-1.777858e-5
Q25b,8.911020000000001e-6
Q25c,1.1402136e-4
Q26a,7.299448e-5
Q26b,2.6925216e-4
Q26c,7.558428e-5
Q26d,2.2334882e-4
Q26e,4.551014e-5
Q26f,3.9522938e-4
Q26g,8.16611e-5
Q26h,1.412306e-4
Q28_social_norm,0.0011784949999999999
Q28_tech_norm,8.5149596e-4
Q35a,7.767620000000001e-5
Q35b,3.028142e-5
Q35c,-2.00869e-5
Q35d,1.321348e-5
Q35e,8.20248e-6
Q35f,-1.39872e-6
Q35g,-4.73178e-6
Q35h,2.5865e-6
Q35i,1.425876e-5
Q36a,4.7184820000000004e-5
Q36b,5.935642e-5
Q3a,1.1683319999999998e-5
Q3b,-9.174800000000002e-7
Q3c,9.18466e-6
Q3d,2.677764e-5
Q3e,4.0579e-6
Q3f,2.55606e-6
Q3g,9.3374e-6
Q4a,5.1398180000000004e-5
Q4b,1.474283e-4
Q4c,4.2186892e-4
Q4d,9.919632e-5
Q4e,7.319535999999999e-5
Q4f,8.196428e-5
Q4g,1.7125728e-4
Q4h,1.5635486e-4
Q4i,3.29989e-5
Q4j,9.918494e-5
Q4k,9.474156e-5
Q4l,0.00123539084
Q4m,7.543888e-5
Q4n,6.146165999999999e-5
Q4o,2.3669748e-4
Q4p,4.9394838e-4
Q6a,2.9911000000000002e-5
Q6b,-1.480400000000002e-7
Q6c,1.729394e-5
Q6d,1.934096e-5
Q6e,1.728866e-5
Q6f,6.329268e-5
Q6g,1.799138e-5
Q6h,4.411922e-5
Q6i,-2.27362e-6
Q6j,6.2243266e-4
Q6k,4.639166e-5
Q7a_wt_sum,6.1400758e-4
Q7b_wt_sum,3.7079124e-4
Q7c_wt_sum,4.8812329999999997e-4
Q7d_wt_sum,1.0355384000000001e-4
Q7e_wt_sum,1.415306e-4
Q7f_wt_sum,1.3128826e-4
Q7g_wt_sum,1.2399402e-4
Q7h_wt_sum,1.4928e-4
Q7i_wt_sum,8.338034e-5
Q7j_wt_sum,1.2650206e-4
Q7k_wt_sum,4.786126e-5
Q7l_wt_sum,1.0951052e-4
Q7m_wt_sum,5.018457e-4
Q7n_wt_sum,1.3710194e-4
Q7o_wt_sum,1.5881006e-4
Q7p_wt_sum,9.879270000000001e-5
Q7q_wt_sum,9.741522e-5
Q7r_wt_sum,1.1916408e-4
Q7s_wt_sum,4.17686e-5
Q7t_wt_sum,5.14832e-5
Q7u_wt_sum,6.632002e-5
Q7v_wt_sum,4.427388e-5
Q8a,7.11604e-6
Q8b,1.851946e-5
Q8c,1.24194e-5
Q8d,1.4386959999999999e-5
Q8e,6.180834e-5
Q8f,5.995244e-5
Q8g,6.642892e-5
Q8h,1.1103955999999999e-4
Q8i,3.7133936e-4
Q8j,1.4414498e-4
