variable,var_importance
class_time_rank,5.751376e-4
gender,9.620534e-5
major,2.7089324e-4
poli_aff,1.7896112e-4
Q10a,2.453434e-5
Q10b,3.600428e-5
Q10c,0.0013726386
Q10d,2.3092819999999998e-5
Q10e,1.7057559999999998e-5
Q10f,2.358306e-5
Q10g,7.166166e-5
Q10h,6.763174e-5
Q10i,9.615564000000001e-5
Q11a,2.1145802e-4
Q11b,4.8716059999999997e-5
Q11c,5.117e-5
Q11d,3.338504e-5
Q11e,8.8413e-5
Q11f,1.8162338e-4
Q11g,1.0670576e-4
Q11h,1.295847e-4
Q11i,9.77934e-5
Q11j,9.797798e-5
Q11k,5.540222e-5
Q11l,6.145022e-5
Q11m,8.76655e-5
Q11n,8.665034e-5
Q12abc_norm,1.1970542e-4
Q12defghi_norm,6.7283898e-4
Q13a,4.661956e-5
Q13b,1.0361636e-4
Q13c,2.5590038e-4
Q13d,3.3711788e-4
Q13e,1.4273092e-4
Q13f,1.9427058e-4
Q13g,8.845526e-5
Q14a,1.9455472000000002e-4
Q14b,1.8693224e-4
Q14c,3.7821304e-4
Q14d,4.0141672000000003e-4
Q14e,1.4181592e-4
Q14f,2.3698934e-4
Q14g,2.2005976e-4
Q15a,1.1644604e-4
Q15b,1.1152142e-4
Q15c,1.3366462e-4
Q15d,3.9694786e-4
Q15e,3.3748294e-4
Q15f,6.280696000000001e-5
Q15g,9.110026e-5
Q15h,6.62664e-5
Q15i,3.883709e-4
Q15j,3.783327e-4
Q15k,3.4763974000000003e-4
Q15l,1.94611e-4
Q17a,2.3297108e-4
Q17b,1.6879782e-4
Q17c,1.2452924e-4
Q17d,7.502904e-5
Q17e,0.0027053214
Q17f,0.00335527502
Q17g,7.4421164e-4
Q17h,5.760785e-4
Q17i,0.00139321624
Q17j,0.0015749567799999999
Q18a,0.00042203043999999997
Q18b,1.3286405999999998e-4
Q18c,0.0144047546
Q18d,0.00143221496
Q18e,0.006591177
Q18f,2.4699616e-4
Q18g,2.9665548e-4
Q18h,1.3511306e-4
Q18i,0.00110528338
Q18j,0.00220760938
Q18k,0.00418330552
Q18l,0.0012175289
Q19a,1.3640086e-4
Q19b,3.981673e-4
Q19c,0.00163292046
Q19d,0.00149338788
Q19e,4.6713794e-4
Q19f,2.9608506e-4
Q19g,6.6930344e-4
Q19h,0.0014528781600000001
Q20a,4.8795578e-4
Q20b,4.204569e-4
Q20c,1.0587348e-4
Q20d,0.00674752432
Q20e,6.5199636e-4
