variable,var_importance
class_time_rank,2.7100158e-4
gender,1.9261166e-4
major,4.7471286e-4
poli_aff,1.3480288e-4
Q10a,6.588742e-5
Q10b,4.93006e-5
Q10c,9.6686252e-4
Q10d,3.113798e-5
Q10e,9.33062e-6
Q10f,1.1582600000000002e-6
Q10g,1.096227e-4
Q10h,2.3024898e-4
Q10i,2.911574e-5
Q11a,2.4133204e-4
Q11b,1.0239504e-4
Q11c,5.7701979999999996e-5
Q11d,6.747048e-5
Q11e,1.9241018e-4
Q11f,4.1624688e-4
Q11g,2.3211494e-4
Q11h,1.1942002e-4
Q11i,1.2997876e-4
Q11j,5.045144e-5
Q11k,7.445318e-5
Q11l,1.490562e-4
Q11m,8.82317e-5
Q11n,9.268328e-5
Q12abc_norm,1.9073012e-4
Q12defghi_norm,7.2540124e-4
Q13a,3.969272e-5
Q13b,1.3654362e-4
Q13c,1.7696746e-4
Q13d,2.8453274e-4
Q13e,1.9712866e-4
Q13f,1.4066314e-4
Q13g,6.0802459999999997e-5
Q14a,2.3648503999999999e-4
Q14b,1.0228738e-4
Q14c,2.7475942e-4
Q14d,2.576058e-4
Q14e,2.3088454e-4
Q14f,1.193992e-4
Q14g,1.569497e-4
Q15a,1.6893422e-4
Q15b,1.1575094e-4
Q15c,1.1233162000000001e-4
Q15d,3.7255926e-4
Q15e,3.3923188e-4
Q15f,7.143926e-5
Q15g,7.283732e-5
Q15h,8.860368e-5
Q15i,1.7322354e-4
Q15j,2.6427932e-4
Q15k,1.7351672e-4
Q15l,2.1573664e-4
Q17a,3.2291998e-4
Q17b,1.368495e-4
Q17c,1.3703884e-4
Q17d,1.7417572e-4
Q17e,3.3836255999999997e-4
Q17f,0.00129804736
Q17g,2.8641002e-4
Q17h,3.5538341999999997e-4
Q17i,5.693595200000001e-4
Q17j,5.5620374e-4
Q18a,5.8553076e-4
Q18b,2.3730778e-4
Q18c,0.00894560046
Q18d,3.4681212e-4
Q18e,0.00306175638
Q18f,1.566835e-4
Q18g,1.7505038e-4
Q18h,1.0213473999999999e-4
Q18i,9.319523399999999e-4
Q18j,0.00177990738
Q18k,0.00332823924
Q18l,5.6246914e-4
Q19a,6.547694e-5
Q19b,2.2445546e-4
Q19c,7.8119572e-4
Q19d,5.236271000000001e-4
Q19e,4.8161218e-4
Q19f,2.656825e-4
Q19g,3.5509854e-4
Q19h,0.00107207778
Q20a,3.6995066e-4
Q20b,5.4097078e-4
Q20c,7.251478e-5
Q20d,0.00332537602
Q20e,7.154020599999999e-4
Q21a,5.9546044e-4
Q21b,5.7918674e-4
Q21c,1.0172604e-4
Q21d,6.6796664e-4
Q21e,8.405503e-4
Q21f,6.784572e-5
Q22,3.490424e-5
Q23a,5.8762926e-4
Q23b,8.317352e-5
Q23c,5.935192e-5
Q23d,2.7774832e-4
Q23e,1.0552186e-4
Q23f,9.63008e-5
Q23g,1.4631086e-4
Q23h,3.1616314e-4
Q23i,1.1843492000000001e-4
Q23j,5.265494e-5
Q24a,1.255817e-4
Q24b,4.8746639999999996e-4
Q24c,0.00188004262
Q24d,6.6951242e-4
Q24e,6.042696e-4
Q24f,2.2369486e-4
Q24g,2.01445e-4
Q24h,5.9931058e-4
Q24i,2.5544386e-4
Q24j,3.8427694e-4
Q24k,2.1810332e-4
Q25a,7.97114e-6
Q25b,-2.548406e-5
Q25c,1.681464e-5
Q26a,7.326612000000001e-5
Q26b,2.0758936e-4
Q26c,6.597312e-5
Q26d,1.7326312e-4
Q26e,1.906918e-5
Q26f,1.5036314e-4
Q26g,7.101666e-5
Q26h,1.17877e-4
Q28_social_norm,8.6909184e-4
Q28_tech_norm,0.0011058069400000001
Q35a,1.946844e-5
Q35b,-6.933999999999975e-8
Q35c,2.041e-5
Q35d,7.02456e-6
Q35e,1.33678e-5
Q35f,9.43814e-6
Q35g,9.08584e-6
Q35h,1.191e-5
Q35i,1.516218e-5
Q36a,2.4899660000000002e-5
Q36b,8.732992e-5
Q3a,-4.9409599999999995e-6
Q3b,2.2166460000000003e-5
Q3c,1.3550100000000001e-5
Q3d,1.023458e-5
Q3e,6.0134e-6
Q3f,2.0650600000000002e-5
Q3g,1.0289999999999972e-7
Q4a,5.764816e-5
Q4b,7.64738e-5
Q4c,3.8242378e-4
Q4d,6.436116e-5
Q4e,8.462324000000001e-5
Q4f,6.765246e-5
Q4g,2.7234548e-4
Q4h,1.1972702e-4
Q4i,4.478324e-5
Q4j,1.5804492e-4
Q4k,1.1213492e-4
Q4l,8.0815182e-4
