variable,var_importance
Q2a,1.775821410115277e-4
Q2b,1.0493279684223645e-4
Q2c,8.356049499098483e-4
Q2d,2.5453480220722568e-5
Q2e,9.235819999270192e-5
Q2f,5.01028600975744e-4
Q2g,8.161835176133114e-5
Q3a,-1.0256432119652436e-5
Q3b,3.7198876863708066e-5
Q3c,8.28134877522482e-5
Q3d,1.3780604233172711e-5
Q3e,3.955383082675024e-6
Q3f,4.1906538187816966e-5
Q3g,1.4601562398177781e-5
Q4a,8.955403119137047e-5
Q4b,7.096827417268193e-5
Q4c,3.0951667162814e-4
Q4d,2.5322817215514586e-4
Q4e,1.485612620804566e-4
Q4f,1.8814075112067466e-4
Q4g,1.1066985358816592e-4
Q4h,3.214111327823357e-5
Q4i,9.165716476657237e-6
Q4j,1.3323015242940265e-4
Q4k,3.6156933923883064e-5
Q4l,8.011050960559642e-4
Q4m,2.9125134566291144e-5
Q4n,2.411907481591214e-4
Q4o,1.1985602806733749e-4
Q4p,6.112738000345508e-4
Q6a,1.1211407919922292e-4
Q6b,-8.994980770427452e-6
Q6c,2.444904660108518e-5
Q6d,1.2148734956184625e-6
Q6e,4.769142816888512e-5
Q6f,2.1223371653514465e-5
Q6g,6.536294025672026e-5
Q6h,1.3281806801328422e-5
Q6i,5.830486341246799e-5
Q6j,1.7002860905951226e-4
Q6k,2.7195841391543697e-5
Q8a,5.7281071358553624e-5
Q8b,1.0155647809682105e-4
Q8c,1.7448829325413183e-5
Q8d,4.8276643693723686e-5
Q8e,6.630695353466275e-5
Q8f,5.3660312897525406e-5
Q8g,1.6535615087196108e-4
Q8h,5.115378470416568e-4
Q8i,6.275984911352818e-4
Q8j,2.477366182747538e-4
Q8k,6.737996636407168e-5
Q8l,2.3090444889040112e-4
Q8m,4.417099029819215e-5
Q8n,2.1896034792645515e-4
Q9a,8.46153939228093e-5
Q9b,1.6164862912543022e-5
Q9c,5.4760084491807245e-5
Q10a,6.236178502096091e-5
Q10b,7.01531295392816e-5
Q10c,6.037553976491325e-4
Q10d,8.481784162990464e-5
Q10e,7.918190310126012e-5
Q10f,9.834295557507157e-5
Q10g,8.555389913284149e-5
Q10h,1.9373882643938204e-4
Q10i,2.0649460122063e-5
Q11a,4.5374738599702233e-4
Q11b,3.6458583175809566e-5
Q11c,1.1984295527147277e-4
Q11d,4.5042122515957374e-5
Q11e,4.471349291072695e-5
Q11f,5.587896977543132e-4
Q11g,5.046559021876975e-4
Q11h,1.5499160556728202e-4
Q11i,6.640004811142556e-5
Q11j,6.250395033074981e-5
Q11k,7.0615848834491507e-005
Q11l,1.2212996434142584e-4
Q11m,5.9747756500392666e-5
Q11n,5.46177388850554e-5
Q12a,4.4407504116898186e-5
Q12b,6.0901026495234255e-5
Q12c,5.61182927112998e-5
Q12d,1.9308381097040344e-4
Q12e,2.4090001933679012e-4
Q12f,1.916844650258453e-4
Q12g,1.1121076219826056e-4
Q12h,3.9373008219883065e-4
Q12i,0.0014441880341039403
Q13a,5.2746839015918156e-5
Q13b,1.3005086749024456e-4
Q13c,1.4223406592031696e-4
Q13d,1.3941046457608306e-4
Q13e,1.919161874379729e-4
Q13f,1.764196548000268e-4
Q13g,8.655237334153482e-5
Q14a,1.7333181276650577e-4
Q14b,1.772786192045067e-4
Q14c,5.380342578171454e-4
Q14d,4.3239372050204246e-4
Q14e,1.363418102888871e-4
Q14f,2.5717599576537966e-4
Q14g,1.2672493200401296e-4
Q15a,1.261070410508109e-4
Q15b,1.0109069083495532e-4
Q15c,9.988091409524755e-5
Q15d,3.646569807512843e-4
Q15e,2.2469945442648754e-4
Q15f,1.7900473056749807e-4
Q15g,1.5929122856871562e-4
Q15h,3.305023390800544e-5
Q15i,3.177763010195164e-4
Q15j,2.7896501044167443e-4
Q15k,2.1151385485520277e-4
Q15l,1.7968786984345897e-4
Q17a,4.059053713949808e-4
Q17b,2.842531371860179e-4
Q17c,5.458408638845478e-4
Q17d,2.9264761058549145e-4
Q17e,0.00343257260947128
Q17f,0.0030152084184555117
Q17g,2.749347317434482e-4
Q17h,2.5468281659986005e-4
Q17i,0.001098378498771431
Q17j,0.0013742704715968457
Q18a,1.7369770439864984e-4
Q18b,3.436676612060651e-4
Q18c,0.003557056903325482
Q18d,5.791133777683009e-4
Q18e,0.0015690311649016401
Q18f,2.3950962075105985e-4
Q18g,2.91828404071304e-4
Q18h,2.1914691702722857e-4
Q18i,7.103365315530905e-4
Q18j,0.0013421353330225572
Q18k,2.015202883817619e-4
Q18l,3.1471972354660846e-4
Q19a,1.196466195001325e-4
Q19b,2.0454534975690376e-4
Q19c,1.3205031222441148e-4
Q19d,1.4193005812114076e-4
Q19e,1.1281063185622759e-4
Q19f,2.2197257861738179e-4
Q19g,1.3855325619435645e-4
Q19h,2.1163463092064273e-4
Q20a,6.639156914995889e-5
Q20b,8.324672447674293e-5
Q20c,1.4122271782278983e-4
Q20d,7.553292215351749e-4
Q20e,1.9695658309793512e-4
Q21a,7.006998517601363e-4
Q21b,2.3535301752606152e-4
Q21c,7.506275641180488e-5
Q21d,6.312990025463991e-4
Q21e,4.2212834679956364e-4
Q21f,4.436870475100509e-5
Q22,4.282328820868551e-5
Q23a,7.702156332469458e-5
Q23b,1.2693273435962458e-4
Q23c,1.0010629629189394e-4
Q23d,5.911205380048911e-5
Q23e,1.1836911601759144e-4
Q23f,2.692416775701474e-5
Q23g,7.900288774104996e-5
Q23h,6.119352162399585e-5
Q23j,2.7470303651596793e-4
Q23i,1.0607987594367771e-4
Q24a,3.620661694825651e-5
Q24b,2.8406258134106775e-4
Q24c,1.1160710618853322e-4
Q24d,1.0965176143819799e-4
Q24e,2.4108379334544292e-4
Q24f,8.377539519451132e-5
Q24g,2.7506642724761475e-4
Q24h,1.8132672403303873e-4
Q24i,1.420236345496931e-4
Q24j,3.580427642014868e-4
Q24k,1.8065034382770318e-4
Q25a,5.541015713432994e-5
Q25b,3.1915484052784084e-5
Q25c,-1.408581047233971e-5
Q26a,4.642073435360044e-5
Q26b,1.192051792058886e-4
Q26c,9.458630683429669e-5
Q26d,6.875277717562128e-5
Q26e,9.959875112987644e-5
Q26f,7.549989070044897e-5
Q26g,2.507890199435339e-4
Q26h,2.0744409407416834e-4
Q27a,2.1427330312680232e-4
Q27b,1.8467192619900364e-4
Q27c,2.006259730963355e-4
Q27d,1.9484720457883927e-4
Q27e,1.4869984316510915e-4
Q27f,1.1102916501226536e-4
Q27g,8.645332279815489e-5
Q27h,1.3405127436904899e-4
Q27i,9.461583748685696e-5
Q32,2.8913284143925046e-5
Q33,8.500734501697785e-5
Q35a,4.445129074460951e-6
Q35b,-2.3794059626415597e-5
Q35c,8.798765347843008e-6
Q35d,3.692587966696331e-5
Q35e,4.483900657410678e-6
Q35f,-9.275268501168742e-6
