variable,var_importance
class_time_rank,1.8232304e-4
gender,1.3005836e-4
major,0.0023452433
poli_aff,-5.194259999999999e-6
Q10a,3.091776e-5
Q10b,6.422166e-5
Q10c,7.026898399999999e-4
Q10d,6.884582e-5
Q10e,8.918266e-5
Q10f,8.281886e-5
Q10g,9.5897e-5
Q10h,1.9046326e-4
Q10i,1.126372e-5
Q11a,4.7241028e-4
Q11b,6.656324e-5
Q11c,1.0150944e-4
Q11d,8.53039e-5
Q11e,5.675904e-5
Q11f,6.5235296e-4
Q11g,5.3482406e-4
Q11h,2.28275e-4
Q11i,6.332338e-5
Q11j,7.505558e-5
Q11k,6.440350000000001e-5
Q11l,1.7255678e-4
Q11m,1.2341816e-4
Q11n,7.53026e-5
Q12abc_norm,1.040082e-4
Q12defghi_norm,9.2000676e-4
Q13a,8.499194e-5
Q13b,1.2379374e-4
Q13c,1.4182932e-4
Q13d,1.7718782e-4
Q13e,2.3468152e-4
Q13f,1.9896264e-4
Q13g,1.1285795999999999e-4
Q14a,1.9267126e-4
Q14b,2.2979256e-4
Q14c,5.5559442e-4
Q14d,5.9213526e-4
Q14e,1.8193746e-4
Q14f,2.7430217999999996e-4
Q14g,2.5814901999999997e-4
Q15a,1.5924402e-4
Q15b,1.1224226e-4
Q15c,8.766094e-5
Q15d,4.963054e-4
Q15e,2.4117382e-4
Q15f,1.8820988e-4
Q15g,1.8637286e-4
Q15h,6.7843e-5
Q15i,3.1260588e-4
Q15j,3.8941189999999997e-4
Q15k,2.7394462e-4
Q15l,2.4331697999999997e-4
Q17a,4.443656e-4
Q17b,2.4714924e-4
Q17c,5.0776728e-4
Q17d,3.549293e-4
Q17e,0.00352722986
Q17f,0.0027590248
Q17g,3.4010342e-4
Q17h,2.8934052e-4
Q17i,0.00110425592
Q17j,0.00159030876
Q18a,2.0152508e-4
Q18b,4.7230518e-4
Q18c,0.00347091074
Q18d,5.682226e-4
Q18e,0.00160529224
Q18f,2.5296312e-4
Q18g,2.8613122e-4
Q18h,1.8766163999999998e-4
Q18i,7.6017892e-4
Q18j,0.00141418038
Q18k,2.9002904e-4
Q18l,4.0019308e-4
Q19a,1.1511612e-4
Q19b,2.0650734e-4
Q19c,1.5225764e-4
Q19d,1.4873542e-4
Q19e,1.837179e-4
Q19f,1.8098088e-4
Q19g,2.2188122000000001e-4
Q19h,1.8412156e-4
Q20a,7.763578e-5
Q20b,9.059747999999999e-5
Q20c,1.5113828e-4
Q20d,7.4020018e-4
Q20e,2.6094902e-4
Q21a,7.034484e-4
Q21b,2.4213834e-4
Q21c,1.0312744000000001e-4
Q21d,6.4756068e-4
Q21e,4.0998034e-4
Q21f,1.0038170000000001e-4
Q22,4.990418e-5
Q23a,1.2959398e-4
Q23b,1.2254024e-4
Q23c,8.96984e-5
Q23d,6.46904e-5
Q23e,7.242814e-5
Q23f,3.507204e-5
Q23g,1.2779217999999998e-4
Q23h,8.088958e-5
Q23i,1.3487016e-4
Q23j,2.2763664e-4
Q24a,7.085585999999999e-5
Q24b,2.7722476e-4
Q24c,1.3043238e-4
Q24d,1.6543105999999999e-4
Q24e,2.6785926e-4
Q24f,1.2193498e-4
Q24g,2.8062984e-4
Q24h,1.5931244e-4
Q24i,1.555454e-4
Q24j,3.7459854e-4
Q24k,1.8123452000000002e-4
Q25a,1.350306e-5
Q25b,1.985712e-5
Q25c,4.48668e-6
Q26a,7.174404e-5
Q26b,1.5031278e-4
Q26c,9.98125e-5
Q26d,1.1228064e-4
Q26e,7.617805999999999e-5
Q26f,7.571246e-5
Q26g,2.405303e-4
Q26h,2.5508746e-4
Q28_social_norm,5.1225912e-4
Q28_tech_norm,2.9887668e-4
Q35a,6.5034e-6
Q35b,1.016108e-5
Q35c,-5.4076e-6
Q35d,5.365732e-5
Q35e,-3.94456e-6
Q35f,9.417000000000003e-7
Q35g,7.539400000000001e-7
Q35h,9.02196e-6
Q35i,3.149298e-5
Q36a,2.718706e-5
Q36b,7.074136e-5
Q3a,-4.47338e-6
Q3b,7.272364e-5
Q3c,9.297438000000001e-5
Q3d,-1.67574e-6
Q3e,-1.3243e-6
Q3f,3.965128e-5
Q3g,1.538674e-5
Q4a,1.2275218e-4
Q4b,8.972056e-5
Q4c,3.4364192e-4
Q4d,2.9815222e-4
Q4e,1.1890436e-4
Q4f,1.8896156e-4
Q4g,1.0704140000000001e-4
Q4h,7.719826e-5
Q4i,3.9433e-5
Q4j,1.3645572e-4
Q4k,2.101392e-5
Q4l,7.5138264e-4
Q4m,3.3713999999999996e-5
Q4n,2.251877e-4
Q4o,7.624098e-5
Q4p,6.6519002e-4
Q6a,1.3301018000000001e-4
Q6b,3.0503260000000004e-5
Q6c,3.126652e-5
Q6d,8.33036e-6
Q6e,3.983034e-5
Q6f,3.13591e-5
Q6g,7.131153999999999e-5
Q6h,7.105472e-5
Q6i,3.65694e-5
Q6j,2.4285576e-4
Q6k,1.959624e-5
Q7a_wt_sum,2.1867728e-4
Q7b_wt_sum,4.9908242e-4
Q7c_wt_sum,9.0922172e-4
Q7d_wt_sum,5.267956e-5
Q7e_wt_sum,0.0036422672399999997
Q7f_wt_sum,0.00103315132
Q7g_wt_sum,2.0645718e-4
Q7h_wt_sum,4.2938798000000003e-4
Q7i_wt_sum,1.9194498e-4
Q7j_wt_sum,9.0807384e-4
Q7k_wt_sum,1.85754e-4
Q7l_wt_sum,3.895438e-5
Q7m_wt_sum,0.00180037596
Q7n_wt_sum,1.3772432e-4
Q7o_wt_sum,2.2677728e-4
Q7p_wt_sum,7.274444e-5
Q7q_wt_sum,8.76581e-5
Q7r_wt_sum,5.212294e-5
Q7s_wt_sum,6.573502e-5
Q7t_wt_sum,6.838026e-5
Q7u_wt_sum,6.529766e-5
