variable,var_importance
Q2a,1.5975624527920473e-5
Q2b,6.868721517770744e-4
Q2c,0.0021353886404992264
Q2d,1.4535259204801824e-4
Q2e,2.6432247984782364e-5
Q2f,9.848579894039769e-5
Q2g,4.374097585840453e-5
Q3a,2.7848869838424316e-5
Q3b,-1.6884049489839814e-5
Q3c,1.1433667149619764e-5
Q3d,-2.6692164229402128e-6
Q3e,1.1971876469809664e-4
Q3f,-3.1325421252890063e-6
Q3g,1.4806697051967787e-5
Q4a,5.17818963707819e-6
Q4b,2.912182656225608e-4
Q4c,2.6524286589244727e-4
Q4d,1.1791535020779337e-4
Q4e,4.269735518999018e-6
Q4f,1.3634756417318786e-4
Q4g,5.587256004482466e-5
Q4h,6.859700314308733e-5
Q4i,4.094878481725302e-5
Q4j,2.696871793110285e-4
Q4k,1.514005556477735e-4
Q4l,0.0025419381044643054
Q4m,2.597598008496279e-5
Q4n,3.655142975092458e-5
Q4o,6.628658067595855e-5
Q4p,0.0013981054723168334
Q6a,9.29315962691013e-7
Q6b,9.182378877351504e-6
Q6c,8.847475018660107e-5
Q6d,1.444842348334393e-5
Q6e,7.398234708273652e-5
Q6f,1.5124970112953239e-5
Q6g,4.076970232761664e-5
Q6h,2.9965612075607373e-5
Q6i,8.792892773618965e-6
Q6j,6.70309437423053e-4
Q6k,2.723590632003673e-5
Q8a,6.0700818905479924e-5
Q8b,4.932389796907919e-5
Q8c,5.8977999607214705e-5
Q8d,4.511087877362908e-5
Q8e,-2.167012813395386e-6
Q8f,9.90908407862362e-5
Q8g,1.624136680542614e-4
Q8h,2.05022322656264e-4
Q8i,1.0404027208604894e-4
Q8j,1.5153514913188295e-4
Q8k,7.725868634091409e-5
Q8l,1.3754991271463604e-4
Q8m,1.3151097421405078e-6
Q8n,1.983036754287587e-4
Q9a,1.4111703059522038e-4
Q9b,6.260648579907935e-7
Q9c,1.5363420234696557e-5
Q10a,4.221276094740241e-5
Q10b,8.430158766846321e-5
Q10c,3.203200750292664e-4
Q10d,3.22916502641448e-5
Q10e,1.5001366888642208e-4
Q10f,1.4493798872936426e-5
Q10g,6.667643171921876e-5
Q10h,3.198440831469526e-5
Q10i,1.7473449465128265e-4
Q11a,7.502146989161527e-5
Q11b,7.539994384788692e-5
Q11c,6.140020370590015e-5
Q11d,2.0193591885743344e-5
Q11e,5.074394610080157e-6
Q11f,6.763182367532023e-5
Q11g,1.7271303373899536e-4
Q11h,9.906938801155017e-5
Q11i,4.236392892124352e-5
Q11j,7.639613606441621e-5
Q11k,5.989672476215949e-5
Q11l,1.1176096090391541e-4
Q11m,5.448950287703229e-5
Q11n,9.97710579921245e-5
Q12a,2.9004231578631954e-5
Q12b,3.0488874327041814e-5
Q12c,5.904765720092431e-6
Q12d,7.995962054386091e-5
Q12e,1.0465296400031123e-4
Q12f,1.4075191720323732e-4
Q12g,4.018298234530775e-5
Q12h,1.8490886194440754e-4
Q12i,5.740054437392446e-4
Q13a,6.046989086756606e-5
Q13b,8.10319292810045e-5
Q13c,7.479600000318481e-5
Q13d,1.203886120367859e-4
Q13e,6.243452976425576e-5
Q13f,1.0694861996925557e-4
Q13g,1.6056863385309448e-4
Q14a,9.732650600535666e-5
Q14b,9.594751015425183e-5
Q14c,3.086389832023729e-4
Q14d,2.640175183050138e-4
Q14e,8.8611297876288e-5
Q14f,1.1995331922106052e-4
Q14g,1.5487247457901323e-4
Q15a,2.229860983912293e-4
Q15b,1.3873199701437938e-4
Q15c,1.3720615043136904e-4
Q15d,5.074993496233792e-4
Q15e,3.6758241158160466e-4
Q15f,7.522035309667176e-5
Q15g,1.409870529284446e-4
Q15h,9.084687032916993e-5
Q15i,3.6922000722063985e-4
Q15j,2.8617940108451257e-4
Q15k,6.811744421992608e-4
Q15l,1.8330449681940757e-4
Q17a,2.94303797880751e-4
Q17b,2.4273262484046106e-4
Q17c,5.875666468161859e-5
Q17d,1.2986804864020327e-4
Q17e,0.002004022136341547
Q17f,0.0014611226116924305
Q17g,6.718044721431146e-4
Q17h,4.8745272064827904e-4
Q17i,0.0011906006701613882
Q17j,0.0012704938212291716
Q18a,1.9013900472147636e-4
Q18b,1.7452319354578337e-4
Q18c,0.0067374395732394685
Q18d,0.001999292377577726
Q18e,0.001864609467699324
Q18f,8.165852929681039e-4
Q18g,7.475315203149477e-4
Q18h,2.841895891306447e-4
Q18i,9.786667918291465e-4
Q18j,0.001647204050408707
Q18k,0.00460435832130782
Q18l,0.003033669879809916
Q19a,1.1348220211157449e-4
Q19b,7.6559523563512e-4
Q19c,8.084285499051111e-4
Q19d,8.445771079613778e-4
Q19e,1.2079871008130162e-4
Q19f,3.1217250412766403e-4
Q19g,7.215826531317795e-4
Q19h,0.0012436631950756146
Q20a,4.945893313719269e-4
Q20b,5.667611424494314e-4
Q20c,2.1654766899428912e-4
Q20d,0.006039699608806666
Q20e,3.1548974995137977e-4
Q21a,6.556624101490338e-4
Q21b,2.828379764003005e-4
Q21c,1.1342185015882241e-4
Q21d,6.999804923379074e-4
Q21e,0.0012449347542746233
Q21f,1.737193754749281e-4
Q22,6.815650168927757e-5
Q23a,3.239765194239418e-4
Q23b,3.5927190391921886e-4
Q23c,1.4607556903455823e-4
Q23d,6.007899890107198e-4
Q23e,2.8753918603103667e-4
Q23f,3.053804595540767e-4
Q23g,5.655353662691636e-4
Q23h,2.3283507045308749e-4
Q23j,3.7948703957071066e-4
Q23i,4.6994348596471786e-4
Q24a,4.489952448932445e-5
Q24b,1.3774532152637385e-4
Q24c,2.565869253906819e-4
Q24d,1.7523946632673457e-4
Q24e,2.0091925909528755e-4
Q24f,2.575449792037489e-4
Q24g,1.4030986886603682e-4
Q24h,7.382164290360673e-4
Q24i,4.833306397986668e-4
Q24j,8.371814177055232e-4
Q24k,0.0014892225469676512
Q25a,4.603365798376289e-5
Q25b,2.8998564974660147e-5
Q25c,2.0324826080276304e-5
Q26a,1.693262118855599e-4
Q26b,2.1517140988438582e-4
Q26c,8.837880041054663e-5
Q26d,1.4180279391032554e-4
Q26e,2.1597780543525485e-4
Q26f,2.1892904294314332e-4
Q26g,2.8607562384955416e-4
Q26h,2.7100438922037754e-4
Q27a,2.7502424501303044e-4
Q27b,2.909192756847488e-4
Q27c,2.637463288175305e-4
Q27d,1.6765376048843685e-4
Q27e,1.5273585370759952e-4
Q27f,2.1664579162536236e-4
Q27g,1.3928141509488565e-4
Q27h,2.1959823245105864e-4
Q27i,1.4032761613675578e-4
Q32,2.0820521743859395e-4
Q33,2.720025994607982e-5
Q35a,1.4759043015572282e-5
Q35b,9.390756466779626e-6
Q35c,-4.1105536029866664e-6
Q35d,-6.5745482785211975e-6
Q35e,1.0663261910733857e-5
Q35f,1.536342425982863e-5
Q35g,4.5440004687669846e-6
Q35h,-8.301733255760336e-7
Q35i,1.6657778504159158e-5
Q7a_wt_sum,1.4895339635764775e-4
Q7b_wt_sum,9.147486457417572e-5
Q7c_wt_sum,5.052241295474635e-4
Q7d_wt_sum,1.0832651398913438e-4
Q7e_wt_sum,4.725235942240757e-4
Q7f_wt_sum,4.0411968107279835e-4
Q7g_wt_sum,2.0961708444048127e-4
Q7h_wt_sum,8.895883068271138e-5
Q7i_wt_sum,1.9555668457562576e-4
Q7j_wt_sum,1.8374419195724609e-4
Q7k_wt_sum,1.0047574895136058e-4
Q7l_wt_sum,0.00014923143837071835
Q7m_wt_sum,6.571117946536551e-4
Q7n_wt_sum,1.64041938642237e-4
Q7o_wt_sum,2.7476725012582005e-4
Q7p_wt_sum,2.0566075526540488e-4
Q7q_wt_sum,1.496623924432454e-4
Q7r_wt_sum,2.1478578516798672e-4
Q7s_wt_sum,4.829463225337073e-5
Q7t_wt_sum,3.3940964543567375e-5
Q7u_wt_sum,5.783596448672361e-5
Q7v_wt_sum,4.2085019350771136e-5
Q28_social_norm,0.0037603585892575773
Q28_tech_norm,0.0013224056812658617
Q27a_tri_num,1.810617805839319e-4
Q27b_tri_num,9.556536528773873e-5
Q27c_tri_num,9.866758550075938e-5
Q27d_tri_num,9.996594631844998e-5
Q27e_tri_num,2.7122451535727122e-5
Q27f_tri_num,8.204518716339548e-5
Q27g_tri_num,5.723496441574236e-5
Q27h_tri_num,1.0825645432649516e-4
Q27i_tri_num,4.835255425293895e-5
major,1.642524085675164e-4
gender,4.2887964401316826e-5
poli_aff,3.352886660754403e-4
religion_aff,7.697907588419028e-5
Q7_env_tally_sum,8.9286000311625e-4
class_time_rank,2.8948937185742667e-4
Q12abc_norm,5.725704051492611e-5
Q12defghi_norm,5.695135881268339e-4
