variable,var_importance
class_time_rank,3.3339147999999997e-4
gender,5.384774e-5
major,1.8735462e-4
poli_aff,4.2754876e-4
Q10a,3.375554e-5
Q10b,5.322128e-5
Q10c,2.884888e-4
Q10d,3.256812e-5
Q10e,1.5203316e-4
Q10f,2.890174e-5
Q10g,6.96686e-5
Q10h,4.283296e-5
Q10i,2.1457358e-4
Q11a,9.727874000000001e-5
Q11b,6.986396e-5
Q11c,7.482754e-5
Q11d,4.238072e-5
Q11e,5.453058e-5
Q11f,1.1594974e-4
Q11g,1.5613406e-4
Q11h,9.177488e-5
Q11i,4.182492e-5
Q11j,6.77785e-5
Q11k,6.808752e-5
Q11l,1.0224916e-4
Q11m,1.0568408e-4
Q11n,9.769612e-5
Q12abc_norm,6.468654e-5
Q12defghi_norm,5.5974612e-4
Q13a,7.185474e-5
Q13b,7.032726e-5
Q13c,1.5741294000000001e-4
Q13d,2.0463251999999998e-4
Q13e,1.0667254000000001e-4
Q13f,1.7286416e-4
Q13g,1.4343766e-4
Q14a,1.214189e-4
Q14b,1.1004752000000001e-4
Q14c,2.9596678e-4
Q14d,2.8038876e-4
Q14e,1.4077978e-4
Q14f,1.284448e-4
Q14g,1.9644332e-4
Q15a,2.234456e-4
Q15b,1.3381742e-4
Q15c,1.3372964e-4
Q15d,6.0912238e-4
Q15e,4.1456064e-4
Q15f,4.714902e-5
Q15g,1.1757022e-4
Q15h,8.540042e-5
Q15i,4.9339358e-4
Q15j,2.9645766e-4
Q15k,8.0493574e-4
Q15l,2.1495716e-4
Q17a,3.128321e-4
Q17b,1.9340244e-4
Q17c,9.988032000000001e-5
Q17d,1.5541274e-4
Q17e,0.0020784716
Q17f,0.00143481922
Q17g,6.1247732e-4
Q17h,5.2115516e-4
Q17i,0.00125203258
Q17j,0.0012143877
Q18a,1.942258e-4
Q18b,1.5173898e-4
Q18c,0.00761320116
Q18d,0.00222843652
Q18e,0.00172153234
Q18f,7.57908e-4
Q18g,8.165569800000001e-4
Q18h,2.4277234e-4
Q18i,0.00102836956
Q18j,0.00165721814
Q18k,0.00505323718
Q18l,0.0028556798
Q19a,1.0788746e-4
Q19b,6.140217e-4
Q19c,7.8832872e-4
Q19d,7.120599400000001e-4
Q19e,1.43006e-4
Q19f,3.293007e-4
Q19g,5.9524896e-4
Q19h,0.00119932944
Q20a,6.3682682e-4
Q20b,6.266587199999999e-4
Q20c,2.4123248e-4
Q20d,0.0066534694
Q20e,3.0867949999999997e-4
Q21a,8.8441986e-4
Q21b,4.5062622e-4
Q21c,8.098376e-5
Q21d,7.460491000000001e-4
Q21e,0.00135174996
Q21f,2.4462242e-4
Q22,4.506756e-5
Q23a,3.4515076e-4
Q23b,3.497272e-4
Q23c,1.7951879999999999e-4
Q23d,6.3105386e-4
Q23e,3.8920938e-4
Q23f,3.6300422e-4
Q23g,6.2366148e-4
Q23h,3.1232922e-4
Q23i,4.3745084e-4
Q23j,3.4092506e-4
Q24a,5.4793199999999996e-5
Q24b,1.7759238e-4
Q24c,2.0608868000000002e-4
Q24d,1.8372356000000001e-4
Q24e,2.8198188e-4
Q24f,2.3698802e-4
Q24g,1.6602432e-4
Q24h,6.8125364e-4
Q24i,5.1317166e-4
Q24j,0.00102833856
Q24k,0.00180583374
Q25a,7.1372e-5
Q25b,1.68486e-5
Q25c,-9.26034e-6
Q26a,2.1437318e-4
Q26b,2.6228884e-4
Q26c,6.311184e-5
Q26d,1.983765e-4
Q26e,3.0514338e-4
Q26f,2.4083444e-4
Q26g,2.7255372000000003e-4
Q26h,3.1261312e-4
Q28_social_norm,0.0040355692
Q28_tech_norm,0.00138187528
Q35a,2.342364e-5
Q35b,7.94984e-6
Q35c,-1.4448e-5
Q35d,1.72378e-6
Q35e,-9.7892e-7
Q35f,1.1120199999999998e-6
Q35g,-1.286726e-5
Q35h,-4.874600000000003e-7
Q35i,2.334856e-5
Q36a,5.137836e-5
Q36b,5.149702e-5
Q3a,3.98393e-5
Q3b,1.179626e-5
Q3c,1.0135e-5
Q3d,-1.034e-6
Q3e,1.6131284e-4
Q3f,2.47782e-6
Q3g,3.38024e-6
Q4a,5.257894e-5
