variable,var_importance
Q2a,1.3826237488268511e-5
Q2b,1.0183139015221791e-4
Q2c,7.247059905303392e-5
Q2d,1.9578188436551324e-4
Q2e,4.3548767434138164e-4
Q2f,0.01765807698833676
Q2g,1.703032858923717e-4
Q3a,1.0156329210544769e-6
Q3b,-1.4182975754516657e-6
Q3c,2.864386557874647e-4
Q3d,-5.581329197329144e-6
Q3e,5.721280262993234e-7
Q3f,0.0013874990211116209
Q3g,9.370537701675396e-7
Q4a,1.7351221640607882e-5
Q4b,1.2273956789434637e-4
Q4c,3.624794120138798e-4
Q4d,7.182821762508941e-5
Q4e,2.571051190054272e-5
Q4f,2.4331651331550507e-5
Q4g,9.787158223062862e-5
Q4h,1.0148578829701727e-4
Q4i,5.438518100021337e-5
Q4j,2.2068718270944987e-4
Q4k,1.4275999284278483e-4
Q4l,3.5101272882778425e-4
Q4m,8.643615268431986e-5
Q4n,8.035329515334017e-5
Q4o,2.630836256291495e-4
Q4p,2.977079649659999e-4
Q6a,4.3902484721374354e-4
Q6b,-1.7865320140169595e-5
Q6c,1.0161651310636536e-4
Q6d,1.4969005748111907e-5
Q6e,1.1453667140503114e-4
Q6f,-9.850570330856789e-7
Q6g,1.3289795580904808e-4
Q6h,5.3493736988226656e-5
Q6i,5.262274290171276e-6
Q6j,7.269179269411683e-5
Q6k,1.5567588195636117e-5
Q8a,5.50687804691319e-5
Q8b,1.6609131147324004e-4
Q8c,3.060306116737892e-5
Q8d,1.387331524210309e-4
Q8e,1.5988420355117627e-4
Q8f,3.910761333209473e-4
Q8g,2.899883728498543e-4
Q8h,1.1886757576440386e-4
Q8i,5.508874253685697e-5
Q8j,1.5969079505865713e-5
Q8k,9.418387657842852e-6
Q8l,8.799917082147373e-5
Q8m,1.6726734288876023e-5
Q8n,2.0127344504394253e-4
Q9a,7.016840884313041e-5
Q9b,4.087713797758304e-5
Q9c,-2.391884610868478e-6
Q10a,3.080183932367843e-5
Q10b,1.4579443804704894e-5
Q10c,3.0041870460023183e-4
Q10d,5.294869752319482e-5
Q10e,1.1980352796218972e-4
Q10f,7.422334902611518e-5
Q10g,1.4351392053103454e-4
Q10h,1.2550274579108407e-4
Q10i,2.164398230969937e-4
Q11a,1.0012364170502552e-4
Q11b,7.540676383903627e-5
Q11c,6.559219267619762e-5
Q11d,1.3927460776119881e-5
Q11e,7.100460833805778e-5
Q11f,1.1890973351882752e-4
Q11g,9.70404699711633e-5
Q11h,1.046186640123112e-4
Q11i,4.0124885379896e-5
Q11j,1.0415034105509702e-4
Q11k,3.2889216726546855e-5
Q11l,1.1605091950756097e-4
Q11m,7.479823340125564e-5
Q11n,2.728278984079717e-5
Q12a,2.9736052972350757e-5
Q12b,6.538949718177796e-5
Q12c,5.7105405027013945e-5
Q12d,1.3576047730598113e-4
Q12e,1.386154703569659e-4
Q12f,2.57388974320574e-4
Q12g,8.368620311532698e-5
Q12h,2.1626920187830465e-4
Q12i,1.9776388225495453e-4
Q13a,5.5736377032663895e-5
Q13b,9.245424997338935e-5
Q13c,3.4363673721369024e-4
Q13d,3.804365684991773e-4
Q13e,2.1270388746818495e-4
Q13f,7.388666511604913e-4
Q13g,1.735053125498067e-4
Q14a,2.796789085511334e-4
Q14b,9.000683467171565e-5
Q14c,3.2070498576896493e-4
Q14d,2.593952870869308e-4
Q14e,1.141380828491374e-4
Q14f,1.9447205871931964e-4
Q14g,1.8038803282250765e-4
Q15a,1.9048605008484208e-4
Q15b,1.5934070327252816e-4
Q15c,5.270173234624255e-4
Q15d,6.587065503522443e-4
Q15e,4.8545642889124033e-4
Q15f,8.897030613320152e-5
Q15g,1.88886340180929e-4
Q15h,6.500242780506462e-5
Q15i,5.548350693538539e-4
Q15j,5.126907239809047e-4
Q15k,4.430457794662754e-4
Q15l,5.272000230679818e-4
Q17a,3.143400761250049e-4
Q17b,3.7472328063277243e-4
Q17c,1.1841342450908779e-4
Q17d,3.7926600787960545e-4
Q17e,3.7504665560624754e-4
Q17f,1.3628810577965e-4
Q17g,2.6337098407788295e-4
Q17h,3.079055761680495e-4
Q17i,6.721336029879739e-4
Q17j,3.103658466966814e-4
Q18a,1.4365297240654317e-4
Q18b,1.369433250132027e-4
Q18c,2.161934201125482e-4
Q18d,6.86534422374118e-4
Q18e,8.920708129014833e-5
Q18f,7.638221824222612e-4
Q18g,0.0013498344341755408
Q18h,1.929126884269938e-4
Q18i,1.5800425939497707e-4
Q18j,4.0253998983432886e-4
Q18k,2.0968151140141557e-4
Q18l,0.0012171053015396919
Q19a,8.58952831382234e-5
Q19b,1.408648371976103e-4
Q19c,1.487917786477828e-4
Q19d,1.876388556363774e-4
Q19e,1.3398759294333326e-4
Q19f,1.0098647359515654e-4
Q19g,8.298191886461176e-5
Q19h,1.7455670944412137e-4
Q20a,1.5755949227467189e-4
Q20b,1.3272662088978203e-4
Q20c,1.9178269832055328e-4
Q20d,2.1270180700859963e-4
Q20e,1.2067577330673025e-4
Q21a,1.7868252034412485e-4
Q21b,2.3639335438391146e-4
Q21c,3.0507564409572015e-4
Q21d,2.5397759046307585e-4
Q21e,1.9239364135060076e-4
Q21f,2.7305870420477583e-4
Q22,5.185847748952598e-5
Q23a,1.603790664337826e-4
Q23b,5.604555531496652e-4
Q23c,3.2053351098367433e-4
Q23d,1.4752953599181428e-4
Q23e,4.2838985167340866e-4
Q23f,2.0716395217840967e-4
Q23g,6.106444992671822e-4
Q23h,1.419088483634969e-4
Q23j,2.2253132652640982e-4
Q23i,6.798779682320959e-4
Q24a,1.2008550304265481e-4
Q24b,7.025878447982854e-5
Q24c,9.130754759350643e-5
Q24d,1.262121299550687e-4
Q24e,1.3421147340205865e-4
Q24f,0.0022603139174544916
Q24g,2.1453968088615323e-4
Q24h,1.3310465434985988e-4
Q24i,8.054312923183321e-4
Q24j,1.524046004964824e-4
Q24k,1.4580987205362598e-4
Q25a,1.826000451179241e-4
Q25b,2.2736656794556886e-5
Q25c,9.370368242579894e-5
Q26a,1.441903261898724e-4
Q26b,2.341972495069069e-4
Q26c,1.9548945180334552e-4
Q26d,1.3282853751822322e-4
Q26e,2.0734261160434907e-4
Q26f,8.345089037950501e-5
Q26g,5.274544090794978e-4
Q26h,2.1022918399301953e-4
Q27a,8.292207184395492e-5
Q27b,1.0951690608433586e-4
Q27c,5.3703595626381215e-5
Q27d,7.159857477556478e-5
Q27e,1.0138216135457861e-4
Q27f,1.1613077468176934e-4
Q27g,2.3271334474372899e-4
Q27h,1.4151041992279518e-4
Q27i,2.228478483461048e-4
Q32,5.025686487187697e-5
Q33,1.0485036787810724e-4
Q35a,2.382097679402496e-5
Q35b,8.253852264619599e-6
Q35c,7.544516704332357e-5
Q35d,6.90401100392628e-6
Q35e,-1.7675263341474057e-5
Q35f,-7.697593614408904e-6
Q35g,3.489983126477212e-5
Q35h,1.0618295612885164e-5
Q35i,1.1251157587085725e-6
Q7a_wt_sum,1.1812537825945597e-4
Q7b_wt_sum,2.0054843888218655e-4
Q7c_wt_sum,4.8229043801212816e-4
Q7d_wt_sum,3.4385285329912045e-4
Q7e_wt_sum,0.0015724464630966295
Q7f_wt_sum,5.093219248800134e-4
Q7g_wt_sum,1.9218898243639733e-4
Q7h_wt_sum,0.002439413972476704
Q7i_wt_sum,1.3138180444232907e-4
Q7j_wt_sum,3.690053395206625e-4
Q7k_wt_sum,2.1637222336345864e-4
Q7l_wt_sum,0.0018865859402026938
Q7m_wt_sum,8.714842372129077e-4
Q7n_wt_sum,2.400584020784599e-4
Q7o_wt_sum,1.7799296524702283e-4
Q7p_wt_sum,0.001068556909843045
Q7q_wt_sum,2.5933749003982187e-4
Q7r_wt_sum,3.676345724820715e-4
Q7s_wt_sum,3.1706173343936154e-5
Q7t_wt_sum,5.959514186462292e-5
Q7u_wt_sum,5.230316328427573e-5
Q7v_wt_sum,7.390658851335386e-5
Q28_social_norm,7.091334101861472e-4
Q28_tech_norm,3.381018795092374e-4
