variable,var_importance
class_time_rank,1.598607e-4
gender,3.302464e-5
major,0.00668303018
poli_aff,1.0600368e-4
Q10a,4.127472e-5
Q10b,5.5173220000000004e-5
Q10c,2.73825e-4
Q10d,2.641482e-5
Q10e,2.4042623999999998e-4
Q10f,5.518858e-5
Q10g,1.4636712e-4
Q10h,1.218617e-4
Q10i,3.5211874e-4
Q11a,8.318453999999999e-5
Q11b,8.587048e-5
Q11c,4.8561739999999996e-5
Q11d,4.157204e-5
Q11e,1.2601236e-4
Q11f,1.303752e-4
Q11g,1.4770576e-4
Q11h,1.2900154e-4
Q11i,4.962964e-5
Q11j,1.0078362e-4
Q11k,6.186642e-5
Q11l,8.67769e-5
Q11m,5.806778e-5
Q11n,8.216164e-5
Q12abc_norm,1.1155904e-4
Q12defghi_norm,7.3868314e-4
Q13a,7.97306e-5
Q13b,8.709876e-5
Q13c,4.8454126e-4
Q13d,4.4244666e-4
Q13e,1.857266e-4
Q13f,8.15505e-4
Q13g,2.0526152e-4
Q14a,2.682789e-4
Q14b,1.322381e-4
Q14c,2.715167e-4
Q14d,2.9099904e-4
Q14e,2.1391374e-4
Q14f,2.0562642000000002e-4
Q14g,1.9913211999999998e-4
Q15a,2.3758138e-4
Q15b,1.6395414e-4
Q15c,6.1370892e-4
Q15d,6.9914054e-4
Q15e,5.7443058e-4
Q15f,9.571318e-5
Q15g,2.7448428e-4
Q15h,9.077256e-5
Q15i,6.7405028e-4
Q15j,8.660353199999999e-4
Q15k,5.960977e-4
Q15l,6.2932198e-4
Q17a,2.6115748e-4
Q17b,3.828629e-4
Q17c,1.3893248e-4
Q17d,4.8437614e-4
Q17e,3.8701726e-4
Q17f,1.5183762e-4
Q17g,2.4648762e-4
Q17h,2.9390052e-4
Q17i,0.00078731509999999995
Q17j,3.4579678e-4
Q18a,1.5786098e-4
Q18b,1.8852184e-4
Q18c,2.4630056e-4
Q18d,7.4646178e-4
Q18e,1.5569074e-4
Q18f,7.1985408e-4
Q18g,0.0015206235799999999
Q18h,2.1638684e-4
Q18i,1.6623384e-4
Q18j,4.1162311999999997e-4
Q18k,2.9485518e-4
Q18l,0.00105437326
Q19a,1.2728446e-4
Q19b,1.642234e-4
Q19c,1.3418824e-4
Q19d,1.9159306e-4
Q19e,1.2121468e-4
Q19f,1.350647e-4
Q19g,1.2272738e-4
Q19h,2.050616e-4
Q20a,1.5870716e-4
Q20b,1.7610795999999999e-4
Q20c,2.2952536e-4
Q20d,2.1627516e-4
Q20e,1.7152874e-4
Q21a,2.0274496e-4
Q21b,3.756206e-4
Q21c,3.1200354e-4
Q21d,2.2310074e-4
Q21e,1.9360184e-4
Q21f,3.6743516e-4
Q22,7.245586e-5
Q23a,1.542449e-4
Q23b,7.5097982e-4
Q23c,3.8572682e-4
Q23d,1.3914412e-4
Q23e,5.7216082e-4
Q23f,2.7118827999999997e-4
Q23g,6.6811914e-4
Q23h,1.4458342e-4
Q23i,5.8880398e-4
Q23j,2.1446076e-4
Q24a,1.0764706e-4
Q24b,9.359218000000001e-5
Q24c,1.0269606e-4
Q24d,1.3834832e-4
Q24e,1.28942e-4
Q24f,0.00234942184
Q24g,2.0633342e-4
Q24h,1.2696453999999998e-4
Q24i,7.2793332e-4
Q24j,2.0610746e-4
Q24k,2.46048e-4
Q25a,1.9700114000000002e-4
Q25b,2.79643e-5
Q25c,7.476878e-5
Q26a,1.1906058e-4
Q26b,2.1470016e-4
Q26c,2.0124326e-4
Q26d,1.476653e-4
Q26e,2.6150962e-4
Q26f,1.1365538e-4
Q26g,5.4587682e-4
Q26h,2.4693152e-4
Q28_social_norm,8.6436046e-4
Q28_tech_norm,3.9180798e-4
Q35a,2.46149e-5
Q35b,1.953578e-5
Q35c,3.979364e-5
Q35d,-9.39212e-6
Q35e,-6.88208e-6
Q35f,7.906779999999999e-6
Q35g,3.823674e-5
Q35h,2.004948e-5
Q35i,5.91408e-6
Q36a,4.354608e-5
Q36b,6.936002e-5
Q3a,2.01874e-6
Q3b,3.2207999999999997e-6
Q3c,3.6097332e-4
Q3d,-7.67004e-6
Q3e,3.67186e-6
Q3f,0.00197737294
Q3g,-8.45138e-6
Q4a,5.83611e-5
Q4b,1.0810228e-4
Q4c,4.9393596e-4
Q4d,5.759744e-5
Q4e,1.593836e-5
Q4f,7.929544e-5
Q4g,2.5102854e-4
Q4h,1.6578008e-4
Q4i,2.741732e-5
Q4j,2.5069646e-4
Q4k,1.7168178e-4
Q4l,4.5688972e-4
Q4m,1.0118556e-4
Q4n,1.3951666e-4
Q4o,3.6778728000000003e-4
Q4p,4.475276e-4
Q6a,5.8078714e-4
Q6b,1.642908e-5
Q6c,6.548662e-5
Q6d,1.037384e-5
Q6e,2.2166952e-4
Q6f,-6.82066e-6
