variable,var_importance
class_time_rank,1.928829e-4
gender,4.561584e-5
major,0.00573799244
poli_aff,5.766918e-5
Q10a,5.38025e-5
Q10b,5.91496e-5
Q10c,5.8408318e-4
Q10d,1.653046e-5
Q10e,1.8435834e-4
Q10f,5.816784e-5
Q10g,2.4816424e-4
Q10h,1.4692634e-4
Q10i,4.267002e-4
Q11a,9.9267e-5
Q11b,7.223026e-5
Q11c,7.432742e-5
Q11d,2.879474e-5
Q11e,7.781886e-5
Q11f,1.2146644e-4
Q11g,1.3531474e-4
Q11h,9.265298000000001e-5
Q11i,5.2777e-5
Q11j,6.868758e-5
Q11k,5.272942e-5
Q11l,1.0783166e-4
Q11m,5.34312e-5
Q11n,7.012748e-5
Q12abc_norm,7.735998e-5
Q12defghi_norm,5.3769126e-4
Q13a,7.778058e-5
Q13b,8.93782e-5
Q13c,2.0602342e-4
Q13d,1.8683392e-4
Q13e,1.1593374e-4
Q13f,5.3295032e-4
Q13g,2.1586094e-4
Q14a,2.2706162000000002e-4
Q14b,1.0886494e-4
Q14c,3.2934766e-4
Q14d,2.428199e-4
Q14e,1.7137816e-4
Q14f,1.7677374e-4
Q14g,2.674335e-4
Q15a,3.4583152e-4
Q15b,2.334849e-4
Q15c,7.629788e-4
Q15d,6.8891866e-4
Q15e,8.0707938e-4
Q15f,8.788932e-5
Q15g,1.9732374e-4
Q15h,1.279484e-4
Q15i,5.4773912e-4
Q15j,5.870906599999999e-4
Q15k,5.0157824e-4
Q15l,6.2620636e-4
Q17a,3.1765544e-4
Q17b,6.9997212e-4
Q17c,7.347614e-5
Q17d,8.8433822e-4
Q17e,5.0751022e-4
Q17f,1.3830088e-4
Q17g,3.3782898e-4
Q17h,3.296524e-4
Q17i,6.848876400000001e-4
Q17j,4.2367452e-4
Q18a,1.1551034000000001e-4
Q18b,2.4929638e-4
Q18c,2.700091e-4
Q18d,5.9359786e-4
Q18e,1.10441e-4
Q18f,7.1653736e-4
Q18g,0.00256472574
Q18h,1.3321568e-4
Q18i,1.7279524e-4
Q18j,5.3676678e-4
Q18k,2.0171042e-4
Q18l,7.4203314e-4
Q19a,1.2135994e-4
Q19b,1.5669784e-4
Q19c,1.7581574e-4
Q19d,1.9163348e-4
Q19e,1.3209232e-4
Q19f,1.4335406e-4
Q19g,7.69249e-5
Q19h,1.5207914e-4
Q20a,1.1958514000000001e-4
Q20b,1.6334918e-4
Q20c,4.26139e-4
Q20d,2.2983638e-4
Q20e,1.5508510000000002e-4
Q21a,1.5726797999999998e-4
Q21b,1.5566478e-4
Q21c,2.9529678e-4
Q21d,4.462364e-4
Q21e,2.390864e-4
Q21f,2.1327648000000002e-4
Q22,7.01625e-5
Q23a,1.6576962e-4
Q23b,7.265276e-4
Q23c,2.5432694e-4
Q23d,1.7190224e-4
Q23e,3.5141478e-4
Q23f,3.1317366e-4
Q23g,4.3198534e-4
Q23h,1.5250324e-4
Q23i,4.3873208e-4
Q23j,1.9495596e-4
Q24a,1.6164058e-4
Q24b,1.1492852e-4
Q24c,1.1568108e-4
Q24d,1.2003572e-4
Q24e,1.4714163999999998e-4
Q24f,0.00260725778
Q24g,3.0605442e-4
Q24h,1.4512607999999998e-4
Q24i,7.590719e-4
Q24j,2.0662784e-4
Q24k,2.1463057999999998e-4
Q25a,1.8083876e-4
Q25b,4.214619999999999e-6
Q25c,6.531414e-5
Q26a,1.1667614e-4
Q26b,2.6673706e-4
Q26c,1.1759212e-4
Q26d,1.5289948e-4
Q26e,1.4761996e-4
Q26f,1.4998154e-4
Q26g,6.2509282e-4
Q26h,2.6143846e-4
Q28_social_norm,7.2206778e-4
Q28_tech_norm,3.3852464e-4
Q35a,-3.2848600000000003e-6
Q35b,8.70802e-6
Q35c,6.004568e-5
Q35d,9.42414e-6
Q35e,5.05078e-6
Q35f,-6.2639e-6
Q35g,2.603504e-5
Q35h,1.9203e-6
Q35i,1.914856e-5
Q36a,1.234276e-5
Q36b,5.567562e-5
Q3a,1.7995999999999999e-6
Q3b,1.66985e-5
Q3c,1.9204418e-4
Q3d,1.67233e-5
Q3e,2.13896e-6
Q3f,0.00120466184
Q3g,2.81968e-6
Q4a,8.956758e-5
Q4b,2.5390714e-4
Q4c,4.6758128e-4
Q4d,5.922914e-5
Q4e,4.356636e-5
Q4f,1.5154736e-4
Q4g,1.7162798e-4
Q4h,1.0174208e-4
Q4i,1.2459799999999999e-5
Q4j,1.1522486e-4
Q4k,9.786326e-5
Q4l,4.5589000000000003e-4
Q4m,9.364078e-5
Q4n,1.6317356e-4
Q4o,4.899032e-4
Q4p,4.0029008e-4
Q6a,2.1769024e-4
Q6b,2.68542e-6
Q6c,4.29535e-5
Q6d,1.4704600000000001e-06
Q6e,1.3381026e-4
Q6f,3.0192e-6
Q6g,1.7740435999999998e-4
Q6h,5.378612e-5
Q6i,1.616898e-5
Q6j,1.2152778e-4
Q6k,-8.84918e-6
Q7a_wt_sum,1.255466e-4
Q7b_wt_sum,1.8098138e-4
Q7c_wt_sum,3.877869e-4
Q7d_wt_sum,6.0807094e-4
Q7e_wt_sum,6.9881442e-4
Q7f_wt_sum,3.9754808e-4
Q7g_wt_sum,1.7120908e-4
Q7h_wt_sum,0.00315155034
Q7i_wt_sum,2.0049916e-4
Q7j_wt_sum,2.5192442e-4
Q7k_wt_sum,1.7381529999999998e-4
Q7l_wt_sum,0.0018850978599999999
Q7m_wt_sum,4.0093518000000004e-4
Q7n_wt_sum,2.973334e-4
Q7o_wt_sum,2.1963368e-4
Q7p_wt_sum,9.0046886e-4
Q7q_wt_sum,2.1840552e-4
Q7r_wt_sum,2.7850705999999997e-4
Q7s_wt_sum,1.1118928e-4
Q7t_wt_sum,7.07236e-5
Q7u_wt_sum,1.092088e-4
Q7v_wt_sum,9.142172e-5
Q8a,2.96674e-5
Q8b,1.2128156e-4
Q8c,1.1645839999999999e-5
Q8d,7.276408e-5
Q8e,1.641927e-4
Q8f,3.36679e-4
Q8g,4.0891244e-4
Q8h,1.084522e-4
Q8i,5.772032e-5
Q8j,8.732477999999999e-5
Q8k,3.20619e-5
Q8l,8.198732e-5
Q8m,7.473359999999999e-6
Q8n,3.6659644e-4
Q9a,4.472554e-5
Q9b,9.196014e-5
Q9c,1.116312e-5
race_eth,5.097121e-4
religion_aff,8.395118e-5
