variable,var_importance
Q2a,7.27848e-5
Q2b,8.39354e-5
Q2c,3.929404e-4
Q2d,1.376603e-4
Q2e,0.0011348597
Q2f,0.0023360317
Q2g,6.68161e-5
Q3a,1.5206e-5
Q3b,9.7079e-6
Q3c,4.84903e-5
Q3d,7.0174e-6
Q3e,-1.01481e-5
Q3f,1.1578e-5
Q3g,1.55685e-5
Q4a,2.364483e-4
Q4b,5.089651e-4
Q4c,1.79052e-5
Q4d,3.80346e-5
Q4e,1.00926e-5
Q4f,3.32606e-5
Q4g,4.885217e-4
Q4h,1.681509e-4
Q4i,1.49055e-5
Q4j,5.630751e-4
Q4k,5.688e-6
Q4l,1.887448e-4
Q4m,1.3378e-5
Q4n,4.37412e-5
Q4o,6.63991e-5
Q4p,1.540936e-4
Q6a,1.34032e-5
Q6b,3.61449e-5
Q6c,1.149996e-4
Q6d,8.9287e-6
Q6e,5.87245e-5
Q6f,-2.18357e-5
Q6g,2.02359e-5
Q6h,8.01849e-5
Q6i,2.45272e-5
Q6j,8.29128e-5
Q6k,1.8466e-6
Q8a,-6.9778e-6
Q8b,2.337779e-4
Q8c,9.15279e-5
Q8d,3.72713e-5
Q8e,2.07658e-5
Q8f,2.793037e-4
Q8g,3.878226e-4
Q8h,0.001078306
Q8i,2.368775e-4
Q8j,9.82027e-5
Q8k,7.32585e-5
Q8l,1.194335e-4
Q8m,2.61971e-5
Q8n,2.698523e-4
Q9a,1.47376e-5
Q9b,3.71352e-5
Q9c,-1.11895e-5
Q10a,2.83256e-5
Q10b,2.12766e-5
Q10c,1.087084e-4
Q10d,5.88149e-5
Q10e,2.377122e-4
Q10f,8.99741e-5
Q10g,1.743043e-4
Q10h,1.743966e-4
Q10i,5.347178e-4
Q11a,1.552114e-4
Q11b,2.606522e-4
Q11c,1.499528e-4
Q11d,-8.203e-7
Q11e,1.98021e-4
Q11f,1.250917e-4
Q11g,8.8523e-5
Q11h,1.945254e-4
Q11i,6.0084e-5
Q11j,4.5105e-6
Q11k,6.63147e-5
Q11l,1.174169e-4
Q11m,5.60855e-5
Q11n,7.15459e-5
Q13a,1.502916e-4
Q13b,3.11955e-5
Q13c,1.274512e-4
Q13d,2.115821e-4
Q13e,1.383089e-4
Q13f,2.147867e-4
Q13g,2.6766e-4
Q14a,1.350949e-4
Q14b,9.57857e-5
