variable,var_importance
class_time_rank,3.0355e-4
gender,3.8914e-4
major,0.00285169
poli_aff,8.118e-5
Q10a,9.16e-6
Q10b,3.627e-5
Q10c,1.0868e-4
Q10d,1.823e-5
Q10e,2.3826e-4
Q10f,6.561e-5
Q10g,2.2404e-4
Q10h,1.4106e-4
Q10i,5.7299e-4
Q11a,1.3188e-4
Q11b,2.1029e-4
Q11c,1.234e-4
Q11d,4.312e-5
Q11e,2.0511e-4
Q11f,1.1358e-4
Q11g,1.1504e-4
Q11h,1.8129e-4
Q11i,8.262e-5
Q11j,3.878e-5
Q11k,6.499e-5
Q11l,1.2577e-4
Q11m,1.0164e-4
Q11n,7.414e-5
Q12abc_norm,8.474e-5
Q12defghi_norm,3.5475e-4
Q13a,1.4821e-4
Q13b,5.374e-5
Q13c,1.4546e-4
Q13d,2.4011e-4
Q13e,1.0402e-4
Q13f,2.409e-4
Q13g,2.8043e-4
Q14a,9.75e-5
Q14b,1.1988e-4
Q14c,1.402e-4
Q14d,2.9952e-4
Q14e,7.058e-5
Q14f,6.03e-5
Q14g,1.3876e-4
Q15a,4.1991e-4
Q15b,1.4818e-4
Q15c,7.4571e-4
Q15d,3.5809e-4
Q15e,2.8292e-4
Q15f,7.07e-5
Q15g,1.338e-4
Q15h,1.0807e-4
Q15i,3.0732e-4
Q15j,6.615e-4
Q15k,0.00111119
Q15l,9.5168e-4
Q17a,2.4956e-4
Q17b,0.00326017
Q17c,1.7248e-4
Q17d,3.8413e-4
Q17e,2.7757e-4
Q17f,1.966e-4
Q17g,2.0451e-4
Q17h,3.1584e-4
Q17i,2.9158e-4
Q17j,2.5558e-4
Q18a,1.3305e-4
Q18b,2.7229e-4
Q18c,2.3539e-4
Q18d,8.607e-4
Q18e,2.8988e-4
Q18f,0.00276752
Q18g,0.00475429
Q18h,1.8909e-4
Q18i,2.0722e-4
Q18j,3.8344e-4
Q18k,2.6317e-4
Q18l,0.00138723
Q19a,2.1295e-4
Q19b,9.934e-5
Q19c,2.7137e-4
