variable,var_importance
Q2a,6.445475020234048e-6
Q2b,0.0012423073559045858
Q2c,1.8610736497733684e-4
Q2d,1.5582744311749383e-4
Q2e,9.057259597994443e-5
Q2f,3.016605061299055e-4
Q2g,3.717039521757206e-4
Q3a,1.3913866720784241e-5
Q3b,7.823000469196718e-6
Q3c,2.9607022897445424e-5
Q3d,6.4076350145600646e-6
Q3e,1.153442425845399e-5
Q3f,-2.839323316838338e-7
Q3g,-1.0308856538050914e-6
Q4a,3.905359454894109e-5
Q4b,1.981696848048359e-5
Q4c,0.0013065788781374656
Q4d,5.4318627809611776e-5
Q4e,3.759228894141253e-5
Q4f,4.840320941428413e-5
Q4g,1.3932916997982456e-4
Q4h,1.2138391938895018e-4
Q4i,3.5441890543226064e-5
Q4j,4.989197980051551e-5
Q4k,5.5222588015492744e-5
Q4l,0.002638751236572141
Q4m,1.0745474997030665e-4
Q4n,6.906828702276036e-5
Q4o,6.126278518769226e-5
Q4p,0.00184605732381626
Q6a,7.855513928082081e-6
Q6b,-4.6476972158320914e-6
Q6c,2.8824523936004144e-5
Q6d,8.839430411579927e-5
Q6e,-3.822548989216097e-5
Q6f,6.509758377663022e-6
Q6g,1.2205557209575045e-4
Q6h,6.922615438907228e-5
Q6i,2.5914599702023456e-5
Q6j,6.992230893256968e-4
Q6k,2.1543692236444212e-5
Q8a,-9.258510404517316e-6
Q8b,1.2885535746231987e-4
Q8c,9.784133904468307e-6
Q8d,8.234288169988502e-5
Q8e,1.0180522681262069e-4
Q8f,1.1397913803964135e-4
Q8g,2.1816886633607498e-4
Q8h,6.095930358001911e-5
Q8i,3.045896787671366e-4
Q8j,1.0371841998292489e-4
Q8k,3.0729415875377386e-5
Q8l,7.082051777883076e-5
Q8m,-1.1039384999696478e-5
Q8n,4.1139760899902924e-4
Q9a,8.571232400949576e-5
Q9b,8.878002617779269e-8
Q9c,6.412799210102253e-5
Q10a,2.1422539984530566e-5
Q10b,6.357392678830061e-5
Q10c,0.0017134383866495965
Q10d,1.4289436898955343e-5
Q10e,6.781510925153488e-5
Q10f,1.884513508540737e-5
Q10g,1.5161650868744908e-4
Q10h,4.1808871056011734e-5
Q10i,7.032431747245162e-5
Q11a,1.2005140265073591e-4
Q11b,4.925359472546195e-5
Q11c,5.187117396063227e-5
Q11d,3.657072893449487e-5
Q11e,6.979500942286267e-5
Q11f,3.1223421256834714e-4
Q11g,2.196428266127963e-4
Q11h,1.1273028888338049e-4
Q11i,4.930448538962453e-5
Q11j,3.992498221762093e-5
Q11k,5.8552372558999125e-5
Q11l,1.0334192468834354e-4
Q11m,1.849324283953635e-5
Q11n,7.875823971976945e-5
Q12a,5.891910413416741e-5
Q12b,1.5356596479332288e-4
Q12c,1.0327689278380072e-4
Q12d,1.514264797467225e-4
Q12e,2.2195373333762012e-4
Q12f,1.581800438174936e-4
Q12g,1.1292010285385585e-4
Q12h,1.4617638598028067e-4
Q12i,0.0012640329089304775
Q13a,9.207625324841404e-5
Q13b,5.5856405134474994e-5
Q13c,1.8325639375439294e-4
Q13d,4.460253806565965e-4
Q13e,1.77815796006837e-4
Q13f,3.5537108650263144e-4
Q13g,1.0824927599633969e-4
Q14a,2.482990263856103e-4
Q14b,1.14012498396057e-4
Q14c,3.6699446452118236e-4
Q14d,1.9700122090883247e-4
Q14e,4.25310507019831e-4
Q14f,4.566776890854544e-4
Q14g,2.450950917013369e-4
Q15a,1.8797909752341297e-4
Q15b,1.0938730082446437e-4
Q15c,1.3435808819854352e-4
Q15d,6.143689785258348e-4
Q15e,3.690145423007989e-4
Q15f,2.017218657758939e-5
Q15g,7.537966999801684e-5
Q15h,9.734424581248191e-5
Q15i,2.6227806449062395e-4
Q15j,3.531860136454494e-4
Q15k,2.0674405873452093e-4
Q15l,2.634381031648438e-4
Q17a,1.4464419182269006e-4
Q17b,1.485671842149034e-4
Q17c,5.878299004235979e-4
Q17d,3.4361026161529925e-4
Q17e,0.0022495363611484496
Q17f,0.0032963365793274783
Q17g,3.547854631798459e-4
Q17h,2.9879199333498183e-4
Q17i,8.348013011280718e-4
Q17j,0.0010975455662438536
Q18a,5.4913748160558165e-5
Q18b,1.792251510480999e-4
Q18c,0.007394252729157013
Q18d,1.8840719454307265e-4
Q18e,0.002523378950452436
Q18f,2.1422095783563111e-4
Q18g,2.0851875191975903e-4
Q18h,8.823509355881725e-5
Q18i,5.84476284249156e-4
Q18j,0.00228722418754668
Q18k,0.0012203494872994624
Q18l,5.888812128033775e-4
Q19a,3.360148854950773e-5
Q19b,1.402917041605316e-4
Q19c,1.8443329954369024e-4
Q19d,4.653555854506909e-4
Q19e,2.4301401960286165e-4
Q19f,1.0723379823290784e-4
Q19g,6.256464979694462e-5
Q19h,2.563466373068573e-4
Q20a,8.780833211866158e-5
Q20b,8.723456816389874e-5
Q20c,9.724005962773577e-5
Q20d,0.0014611549201707242
Q20e,5.090510571364955e-4
Q21a,0.001282598726864399
Q21b,4.179561864186747e-5
Q21c,3.0084475764787334e-5
Q21d,4.5152968405307996e-4
Q21e,2.308431208381176e-4
Q21f,5.628289229998025e-5
Q22,2.917068228676798e-5
Q23a,2.0365592144032903e-4
Q23b,1.6326123119866912e-4
Q23c,1.8247669643535474e-4
Q23d,1.2547136828843782e-4
Q23e,1.802810505019636e-4
Q23f,2.6089678399215444e-4
Q23g,1.2717045941384487e-4
Q23h,2.3811320919554194e-4
Q23j,2.008170234430998e-4
Q23i,1.2038072026441988e-4
Q24a,4.836559299895199e-5
Q24b,3.622549223645266e-4
Q24c,3.329974701242937e-4
Q24d,3.8670664895740843e-4
Q24e,1.2095839000447368e-4
Q24f,1.7053188924471752e-4
Q24g,3.9888227982911353e-4
Q24h,7.95298601700407e-4
Q24i,2.492794270060597e-4
Q24j,3.245367808275786e-4
Q24k,2.92832450257861e-4
Q25a,2.4321510847079065e-5
Q25b,-3.8073168194799024e-5
Q25c,3.3840703905832535e-5
Q26a,2.3508995615591333e-5
Q26b,8.054684128716477e-5
Q26c,4.9968200688648446e-5
Q26d,4.2011659794392795e-5
Q26e,7.214414611937107e-5
Q26f,1.5389161466673943e-4
Q26g,9.72679205074837e-5
Q26h,4.884762153402872e-5
Q27a,2.543698752826568e-4
Q27b,1.976437791824628e-4
Q27c,1.3649861260508605e-4
Q27d,1.6702386208268134e-4
Q27e,2.0463528660713375e-4
Q27f,1.5967627237773902e-4
Q27g,1.2294424848204968e-4
Q27h,1.83320750852068e-4
Q27i,1.3891849343415942e-4
Q32,3.319538009810114e-5
Q33,8.481341278520449e-5
Q35a,2.6997455312799158e-5
Q35b,9.804220946310694e-6
Q35c,1.0598610596996493e-5
Q35d,5.4014026441214776e-006
Q35e,2.272777038940388e-6
Q35f,-4.486978399743102e-7
Q35g,-1.2720780384364748e-6
Q35h,6.131169367571698e-6
Q35i,1.8290136789336286e-5
Q7a_wt_sum,2.1143028640149212e-4
Q7b_wt_sum,2.545740881933233e-4
Q7c_wt_sum,3.407740297750598e-4
Q7d_wt_sum,5.911739351566865e-5
Q7e_wt_sum,7.757666845178626e-4
Q7f_wt_sum,1.8690288855572332e-4
Q7g_wt_sum,1.849408137794729e-4
Q7h_wt_sum,1.1890275635883039e-4
Q7i_wt_sum,2.680228556890697e-4
Q7j_wt_sum,2.190173507225399e-4
Q7k_wt_sum,1.78739232655759e-4
Q7l_wt_sum,1.8348944232106175e-4
Q7m_wt_sum,7.305299428877469e-4
Q7n_wt_sum,3.0222432051797796e-4
Q7o_wt_sum,1.2871724044912224e-4
Q7p_wt_sum,2.0653847581986718e-4
Q7q_wt_sum,1.1049527806932537e-4
Q7r_wt_sum,9.34652683205399e-5
Q7s_wt_sum,3.7282713190205385e-5
Q7t_wt_sum,9.386927204426653e-5
Q7u_wt_sum,9.643624019833061e-5
Q7v_wt_sum,2.9041671797996083e-5
Q28_social_norm,0.0012303841086769715
Q28_tech_norm,7.086934223036556e-4
Q27a_tri_num,1.0008648954631485e-4
Q27b_tri_num,8.418055704572245e-5
Q27c_tri_num,6.358149683721553e-5
Q27d_tri_num,5.7978791865401016e-5
Q27e_tri_num,3.9098051488682225e-5
Q27f_tri_num,3.8424244254717076e-5
Q27g_tri_num,2.6195844408267378e-5
Q27h_tri_num,5.487530349630288e-5
Q27i_tri_num,1.8728051468212458e-5
major,4.41134744938471e-4
gender,5.400795389378075e-5
poli_aff,8.428535311464779e-5
religion_aff,1.2457909271585722e-5
Q7_env_tally_sum,0.0010703481957671126
class_time_rank,2.9600659330200374e-4
Q12abc_norm,2.40510525508112e-4
Q12defghi_norm,7.670320134710364e-4
