variable,var_importance
class_time_rank,2.8474492e-4
gender,8.636715999999999e-5
major,4.2062964e-4
poli_aff,3.258694e-5
Q10a,3.15419e-5
Q10b,6.458114000000001e-5
Q10c,0.0017057515599999999
Q10d,2.165014e-5
Q10e,5.2629640000000005e-5
Q10f,4.58974e-5
Q10g,1.2989234e-4
Q10h,6.972644e-5
Q10i,6.75363e-5
Q11a,1.0506852e-4
Q11b,4.63973e-5
Q11c,4.3056420000000005e-5
Q11d,5.620368e-5
Q11e,1.0205832e-4
Q11f,3.7219414e-4
Q11g,2.341562e-4
Q11h,1.5784586e-4
Q11i,6.699504000000001e-5
Q11j,6.020678e-5
Q11k,6.552146e-5
Q11l,1.0551808e-4
Q11m,5.4963140000000005e-5
Q11n,1.0270126000000001e-4
Q12abc_norm,1.7525356e-4
Q12defghi_norm,6.708093599999999e-4
Q13a,8.925424e-5
Q13b,5.866216e-5
Q13c,1.81417e-4
Q13d,5.0341524e-4
Q13e,1.9852586e-4
Q13f,5.0167376e-4
Q13g,7.826134e-5
Q14a,2.6913212e-4
Q14b,1.661938e-4
Q14c,2.8816256e-4
Q14d,2.0481832e-4
Q14e,4.5571396e-4
Q14f,5.184777e-4
Q14g,2.9231488e-4
Q15a,2.5867762000000003e-4
Q15b,1.0169024e-4
Q15c,1.4348004e-4
Q15d,8.8783298e-4
Q15e,4.7285646e-4
Q15f,4.993016e-5
Q15g,7.244578e-5
Q15h,7.780814e-5
Q15i,3.6567426e-4
Q15j,5.117743e-4
Q15k,2.1451764e-4
Q15l,3.4542924e-4
Q17a,2.1556676000000002e-4
Q17b,1.251666e-4
Q17c,5.0815998e-4
Q17d,3.2538338e-4
Q17e,0.00258588082
Q17f,0.00330107934
Q17g,3.633992e-4
Q17h,3.170911e-4
Q17i,9.0831984e-4
Q17j,0.00102677162
Q18a,8.216714e-5
Q18b,1.3970824000000001e-4
Q18c,0.00782966584
Q18d,2.3569064e-4
Q18e,0.00242478906
Q18f,2.2096232e-4
Q18g,2.1111204e-4
Q18h,1.2655246e-4
Q18i,6.1504354e-4
Q18j,0.00226578298
Q18k,0.0015158016
Q18l,6.3580554e-4
Q19a,7.415136e-5
Q19b,1.8312156e-4
Q19c,2.9058912e-4
Q19d,5.2383562e-4
Q19e,3.016003e-4
Q19f,1.4840526e-4
Q19g,1.0766214e-4
Q19h,3.4935054e-4
Q20a,1.3800612e-4
Q20b,1.3132004e-4
Q20c,9.296588000000001e-5
Q20d,0.00181718362
Q20e,5.7328226e-4
Q21a,0.00132075902
Q21b,9.4391e-5
Q21c,6.150394000000001e-5
Q21d,6.9628826e-4
Q21e,2.5348294e-4
Q21f,4.757032e-5
Q22,4.905432e-5
Q23a,2.8807744e-4
Q23b,1.62342e-4
Q23c,1.595115e-4
Q23d,1.4377046e-4
Q23e,1.8596762e-4
Q23f,2.7224638e-4
Q23g,2.2766828e-4
Q23h,2.731628e-4
Q23i,1.4172282e-4
Q23j,1.7975674000000002e-4
Q24a,7.75272e-5
Q24b,3.8476088e-4
Q24c,3.7792672e-4
Q24d,3.8625956e-4
Q24e,1.5747886e-4
Q24f,1.4271624e-4
Q24g,3.2217976e-4
Q24h,6.8006502e-4
Q24i,2.4639232000000003e-4
Q24j,3.4157938e-4
Q24k,3.1029644000000003e-4
Q25a,1.546646e-5
Q25b,1.88458e-6
Q25c,2.23972e-5
Q26a,3.739398e-5
Q26b,1.2563616e-4
Q26c,5.338136e-5
Q26d,9.232863999999999e-5
Q26e,1.006805e-4
Q26f,1.7133778e-4
Q26g,9.198194e-5
Q26h,4.845184e-5
Q28_social_norm,0.0013348834
Q28_tech_norm,9.3770054e-4
Q35a,-5.05778e-6
Q35b,8.56536e-6
Q35c,-3.22146e-6
Q35d,1.5259800000000002e-6
Q35e,6.54286e-6
Q35f,-1.08324e-5
Q35g,-2.03104e-6
Q35h,-3.73258e-6
Q35i,-7.89728e-6
Q36a,6.760172e-5
Q36b,7.614084e-5
Q3a,4.0055800000000005e-6
Q3b,6.90102e-6
Q3c,2.146428e-5
Q3d,1.0787999999999994e-7
Q3e,1.22704e-5
Q3f,3.5740000000000006e-7
Q3g,-6.3564e-6
Q4a,3.44671e-5
Q4b,2.7568640000000002e-5
Q4c,0.00134829724
Q4d,7.420658e-5
Q4e,3.755206e-5
Q4f,1.0638414e-4
Q4g,1.4113644000000002e-4
Q4h,1.5509766e-4
Q4i,4.046446e-5
Q4j,3.892192e-5
Q4k,8.364268e-5
Q4l,0.00296650978
Q4m,8.539675999999999e-5
Q4n,7.865078e-5
Q4o,8.287774e-5
Q4p,0.00182200684
Q6a,3.883886e-5
Q6b,2.276746e-5
Q6c,6.077436e-5
Q6d,1.0782644e-4
Q6e,-7.09238e-6
Q6f,5.76584e-6
Q6g,9.871828e-5
Q6h,9.08976e-5
Q6i,3.643498e-5
Q6j,8.5365232e-4
Q6k,2.92887e-5
Q7a_wt_sum,2.691301e-4
Q7b_wt_sum,2.9453424e-4
Q7c_wt_sum,4.8560774e-4
Q7d_wt_sum,7.830562e-5
Q7e_wt_sum,9.967245e-4
Q7f_wt_sum,2.3334697999999999e-4
Q7g_wt_sum,2.3058762e-4
Q7h_wt_sum,1.4467188e-4
Q7i_wt_sum,3.2159384e-4
Q7j_wt_sum,1.9227746e-4
Q7k_wt_sum,2.2405944e-4
Q7l_wt_sum,1.7229122e-4
Q7m_wt_sum,8.0250544e-4
Q7n_wt_sum,3.3360422e-4
Q7o_wt_sum,1.3190526e-4
Q7p_wt_sum,2.007565e-4
Q7q_wt_sum,1.2571092e-4
Q7r_wt_sum,9.41074e-5
Q7s_wt_sum,4.10578e-5
Q7t_wt_sum,9.09815e-5
Q7u_wt_sum,7.824238e-5
Q7v_wt_sum,4.036854e-5
Q8a,1.279794e-5
Q8b,2.011346e-4
Q8c,2.33135e-5
Q8d,1.0904146e-4
Q8e,9.943022e-5
Q8f,9.305228e-5
Q8g,1.4402514e-4
Q8h,7.570402000000001e-5
Q8i,2.7535046e-4
Q8j,1.5194231999999998e-4
Q8k,5.765958e-5
Q8l,2.864868e-5
Q8m,4.130396e-5
Q8n,3.5567482e-4
Q9a,1.2404478e-4
Q9b,8.696680000000001e-6
Q9c,4.4353519999999996e-5
race_eth,1.0548842e-4
religion_aff,3.3937500000000005e-5
